NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ;Latitude1_deg_dec;Longitude1_deg_dec;codstock;country
24286;38G3;24;54;41.56;14;39.445;3;DEN;54.69;14.66;21-24;GFR (SD 21-24)
24287;38G3;24;55;2.5;14;13.4;3;DEN;55.04;14.22;21-24;GFR (SD 21-24)
24293;38G3;24;54;33.81;14;7.63;2;GFR;54.56;14.13;21-24;GFR (SD 21-24)
24296;38G4;24;54;54.48;12;52.222;2;DEN;54.91;12.87;21-24;GFR (SD 21-24)
24301;39G3;24;55;3.36;13;38.36;2;SWE;55.06;13.64;21-24;GFR (SD 21-24)
24303;39G3;24;55;18.83;13;55.94;2;SWE;55.31;13.93;21-24;GFR (SD 21-24)
24311;39G3;24;55;0.88;14;16.4;3;DEN;55.01;14.27;21-24;GFR (SD 21-24)
24312;39G3;24;55;2.59;13;27.03;3;SWE;55.04;13.45;21-24;GFR (SD 21-24)
24317;39G4;24;55;9.471;14;16.2058;3;DEN;55.16;14.27;21-24;GFR (SD 21-24)
24319;38G4;24;55;5;14;10.2;3;DEN;55.08;14.17;21-24;GFR (SD 21-24)
24321;39G4;24;55;13.4;13;25.2;3;SWE;55.22;13.42;21-24;GFR (SD 21-24)
24323;39G4;24;55;14.9;13;52.1;3;SWE;55.25;13.87;21-24;GFR (SD 21-24)
24324;39G4;24;55;9;13;55.9;3;SWE;55.15;13.93;21-24;GFR (SD 21-24)
24325;39G4;24;54;36.4;12;36.15;2;GFR;54.61;12.60;21-24;GFR (SD 21-24)
24330;39G3;24;54;26;14;8.8;2;GFR;54.43;14.15;21-24;GFR (SD 21-24)
24335;39G4;24;54;11.5;14;18.6;2;GFR;54.19;14.31;21-24;GFR (SD 21-24)
28006;43H1;28;57;20.8;20;52.5;4;LAT;57.35;20.88;25-32;LAT (SD 25-32)
28009;43H1;28;57;24.2;21;20.7;2;LAT;57.40;21.35;25-32;LAT (SD 25-32)
28024;42H0;28;57;28;21;1.6;4;LAT;57.47;21.03;25-32;LAT (SD 25-32)
28042;43H1;28;57;7.8;20;43.6;4;LAT;57.13;20.73;25-32;LAT (SD 25-32)
28046;43H1;28;57;18.7;20;58.2;4;LAT;57.31;20.97;25-32;LAT (SD 25-32)
28049;44G9;28;57;13.5;21;2.2;3;LAT;57.23;21.04;25-32;LAT (SD 25-32)
28070;42H0;28;57;8;20;35;5;LAT;57.13;20.58;25-32;LAT (SD 25-32)
28074;43G8;28;57;10.5;20;35.2;5;LAT;57.18;20.59;25-32;LAT (SD 25-32)
28075;43H0;28;57;12.3;20;40.4;5;LAT;57.21;20.67;25-32;LAT (SD 25-32)
28086;43H0;28;57;10.8;20;25.9;6;LAT;57.18;20.43;25-32;LAT (SD 25-32)
28088;43H0;28;57;26.7;20;34.2;5;LAT;57.45;20.57;25-32;LAT (SD 25-32)
28093;43H1;28;57;29.3;21;26.2;2;LAT;57.49;21.44;25-32;LAT (SD 25-32)
28094;43H1;28;56;56.4;20;23;5;LAT;56.94;20.38;25-32;LAT (SD 25-32)
28126;44H1;28;57;14.68;21;5.63;3;LAT;57.24;21.09;25-32;LAT (SD 25-32)
28127;45G9;28;57;16.38;21;2.55;4;LAT;57.27;21.04;25-32;LAT (SD 25-32)
28132;45H1;28;57;13.8;21;9.4;3;LAT;57.23;21.16;25-32;LAT (SD 25-32)
28136;45G9;28;57;1.86;21;5.66;2;LAT;57.03;21.09;25-32;LAT (SD 25-32)
28138;45G9;28;57;4.05;21;7.77;2;LAT;57.07;21.13;25-32;LAT (SD 25-32)
28157;43H0;28;56;39.38;20;45.92;2;LAT;56.66;20.77;25-32;LAT (SD 25-32)
28160;43G9;28;56;36.49;20;41.28;3;LAT;56.61;20.69;25-32;LAT (SD 25-32)
28161;43G9;28;56;38.1;20;43.9;2;LAT;56.64;20.73;25-32;LAT (SD 25-32)
28165;43H0;28;57;7.18;20;39.42;5;LAT;57.12;20.66;25-32;LAT (SD 25-32)
28173;43H0;28;56;38.85;20;36.28;3;LAT;56.65;20.60;25-32;LAT (SD 25-32)
28190;42G9;28;57;58.9;20;58.43;5;EST;57.98;20.97;25-32;LAT (SD 25-32)
28191;42H0;28;58;1.6;21;5.9;4;EST;58.03;21.10;25-32;LAT (SD 25-32)
28193;43H0;28;57;52.8;21;30.9;3;EST;57.88;21.52;25-32;LAT (SD 25-32)
28122;44H1;28;57;23.8;21;17.54;3;LAT;57.40;21.29;25-32;LAT (SD 25-32)
26052;39H0;26;55;30.4;20;36.6;4;LTU;55.51;20.61;25-32;LTU (SD 25-32)
26057;40H0;26;55;43.1;19;58;4;LTU;55.72;19.97;25-32;LTU (SD 25-32)
26134;40H0;26;55;57.08;20;28.61;2;LTU;55.95;20.48;25-32;LTU (SD 25-32)
26153;41G9;26;55;29.4;20;38.8;4;LTU;55.49;20.65;25-32;LTU (SD 25-32)
26193;39G9;26;55;39.8;20;17.3;4;LTU;55.66;20.29;25-32;LTU (SD 25-32)
26206;39G8;26;55;45.8;20;20;3;LTU;55.76;20.33;25-32;LTU (SD 25-32)
24055;38G2;24;54;34.16;14;43.13;2;grey;54.57;14.72;21-24;POL (SD 21-24)
24150;38G2;24;54;36.77;14;46.61;3;grey;54.61;14.78;21-24;POL (SD 21-24)
24162;39G2;24;54;40.85;14;50.9;3;grey;54.68;14.85;21-24;POL (SD 21-24)
24164;39G3;24;54;40.17;14;40.29;3;DEN;54.67;14.67;21-24;POL (SD 21-24)
24295;38G4;24;54;34.564;14;39.402;2;DEN;54.58;14.66;21-24;POL (SD 21-24)
25004;37G5;25;54;52.7;16;38.6;2;POL;54.88;16.64;25-32;POL (SD 25-32)
25008;37G5;25;54;23;15;34;2;POL;54.38;15.57;25-32;POL (SD 25-32)
25009;37G6;25;54;22.9;15;47.3;2;POL;54.38;15.79;25-32;POL (SD 25-32)
25010;37G6;25;54;26.8;16;5.3;2;POL;54.45;16.09;25-32;POL (SD 25-32)
25011;38G6;25;54;24.7;16;3;2;POL;54.41;16.05;25-32;POL (SD 25-32)
25013;38G6;25;54;39;16;23.6;2;POL;54.65;16.39;25-32;POL (SD 25-32)
25014;38G6;25;54;41.6;16;38.7;2;POL;54.69;16.65;25-32;POL (SD 25-32)
25016;38G6;25;54;44.6;16;49;2;POL;54.74;16.82;25-32;POL (SD 25-32)
25017;38G6;25;54;44.2;16;52.3;2;POL;54.74;16.87;25-32;POL (SD 25-32)
25022;38G7;25;54;57.4;17;25;2;POL;54.96;17.42;25-32;POL (SD 25-32)
25024;38G7;25;54;51;17;28;2;POL;54.85;17.47;25-32;POL (SD 25-32)
25030;38G7;25;55;29.3;17;27.8;3;POL;55.49;17.46;25-32;POL (SD 25-32)
25038;39G7;25;56;9;17;45;3;SWE;56.15;17.75;25-32;POL (SD 25-32)
25042;37G5;25;54;32;16;0;3;POL;54.53;16.00;25-32;POL (SD 25-32)
25052;38G5;25;54;38.4;16;4.5;3;POL;54.64;16.08;25-32;POL (SD 25-32)
25080;39G6;25;55;24.3;16;44.9;3;POL;55.41;16.75;25-32;POL (SD 25-32)
25081;39G7;25;55;24.2;16;51;3;POL;55.40;16.85;25-32;POL (SD 25-32)
25107;40G4;25;55;33.2;17;36;3;POL;55.55;17.60;25-32;POL (SD 25-32)
25161;40G5;25;55;53.3;17;43.6;4;SWE;55.89;17.73;25-32;POL (SD 25-32)
25229;38G5;25;55;16.7;16;52.3;4;POL;55.28;16.87;25-32;POL (SD 25-32)
25231;38G5;25;55;19.3;17;17.4;4;POL;55.32;17.29;25-32;POL (SD 25-32)
25232;38G5;25;55;18.7;17;20;4;POL;55.31;17.33;25-32;POL (SD 25-32)
25247;38G5;25;55;20.8;17;9.6;4;POL;55.35;17.16;25-32;POL (SD 25-32)
25248;38G5;25;55;21.1;17;27.7;4;POL;55.35;17.46;25-32;POL (SD 25-32)
25339;39G6;25;55;15.5;17;25.5;5;POL;55.26;17.43;25-32;POL (SD 25-32)
25364;39G7;25;54;59.8;17;28;2;POL;55.00;17.47;25-32;POL (SD 25-32)
25380;39G7;25;55;38.5;17;37.8;3;POL;55.64;17.63;25-32;POL (SD 25-32)
25410;40G5;25;56;2.9;17;44.5;4;SWE;56.05;17.74;25-32;POL (SD 25-32)
25455;41G6;25;55;27.4;17;17;2;POL;55.46;17.28;25-32;POL (SD 25-32)
25463;38G6;25;55;14.2;17;18.2;5;POL;55.24;17.30;25-32;POL (SD 25-32)
26001;37G8;26;54;22.9;19;14.4;2;POL;54.38;19.24;25-32;POL (SD 25-32)
26007;37G9;26;54;51.5;18;34;2;POL;54.86;18.57;25-32;POL (SD 25-32)
26013;38G8;26;56;22;18;29;2;SWE;56.37;18.48;25-32;POL (SD 25-32)
26020;38G8;26;54;47.2;18;42.3;3;POL;54.79;18.71;25-32;POL (SD 25-32)
26050;38G8;26;55;38.3;18;3.6;4;POL;55.64;18.06;25-32;POL (SD 25-32)
26055;40H0;26;55;48;18;8;4;POL;55.80;18.13;25-32;POL (SD 25-32)
26069;41G8;26;56;13.1;18;25.2;4;SWE;56.22;18.42;25-32;POL (SD 25-32)
26074;37G9;26;56;23;18;35;4;SWE;56.38;18.58;25-32;POL (SD 25-32)
26110;39G8;26;55;35;18;23;5;POL;55.58;18.38;25-32;POL (SD 25-32)
26124;40H0;26;56;17;18;32;5;SWE;56.28;18.53;25-32;POL (SD 25-32)
26138;40H0;26;55;52.8;18;49;6;POL;55.88;18.82;25-32;POL (SD 25-32)
26141;40G9;26;56;19;18;40;6;LAT;56.32;18.67;25-32;POL (SD 25-32)
26163;38G9;26;54;24.9;19;18.9;3;POL;54.42;19.32;25-32;POL (SD 25-32)
26164;38G9;26;55;31.7;18;33;5;POL;55.53;18.55;25-32;POL (SD 25-32)
26170;38G8;26;56;9.89056;18;20.27;4;SWE;56.16;18.34;25-32;POL (SD 25-32)
26183;39G9;26;54;51;18;36.8;2;POL;54.85;18.61;25-32;POL (SD 25-32)
26217;39G9;26;54;24.7;19;17.5;3;POL;54.41;19.29;25-32;POL (SD 25-32)
26219;40G8;26;54;23.5;18;58.5;2;POL;54.39;18.98;25-32;POL (SD 25-32)
26221;40G8;26;55;55.2;18;35.21;6;SWE;55.92;18.59;25-32;POL (SD 25-32)
26224;40G8;26;56;22.01;18;26.8;2;SWE;56.37;18.45;25-32;POL (SD 25-32)
26225;40G8;26;56;18.8;18;23.29;3;SWE;56.31;18.39;25-32;POL (SD 25-32)
26256;40G8;26;54;26.8;19;18.6;4;POL;54.45;19.31;25-32;POL (SD 25-32)
26263;40G9;26;54;23.7;18;59.5;2;POL;54.40;18.99;25-32;POL (SD 25-32)
26264;40G9;26;54;25.2;19;2.1;3;POL;54.42;19.04;25-32;POL (SD 25-32)
26265;40H0;26;54;26;19;6;3;POL;54.43;19.10;25-32;POL (SD 25-32)
26266;40G8;26;54;48.2;18;32.9;2;POL;54.80;18.55;25-32;POL (SD 25-32)
26269;40G9;26;54;36.7;19;9.2;5;LAT;54.61;19.15;25-32;POL (SD 25-32)
26274;41H0;26;54;53.8;18;10.2;2;POL;54.90;18.17;25-32;POL (SD 25-32)
26282;40G8;26;54;25.3;19;3.9;3;POL;54.42;19.07;25-32;POL (SD 25-32)
26286;41G9;26;55;37.6;18;32.2;5;POL;55.63;18.54;25-32;POL (SD 25-32)
26287;41G9;26;54;36.7;19;2.1;5;POL;54.61;19.04;25-32;POL (SD 25-32)
25049;38G5;25;54;32.5;15;46.1;3;POL;54.54;15.77;25-32;POL (SD 25-32)
25084;39G7;25;55;23;17;22;3;POL;55.38;17.37;25-32;POL (SD 25-32)
25167;40G5;25;56;16;17;57;3;SWE;56.27;17.95;25-32;POL (SD 25-32)
26023;38G8;26;55;8.3;20;19.8;3;RUS;55.14;20.33;25-32;RUS (SD 25-32)
26025;39H0;26;55;12.4;20;9.8;3;RUS;55.21;20.16;25-32;RUS (SD 25-32)
26036;37G9;26;54;49.3;19;38.9;4;RUS;54.82;19.65;25-32;RUS (SD 25-32)
26045;37G9;26;55;16.7;19;5;4;POL;55.28;19.08;25-32;RUS (SD 25-32)
26084;37G9;26;54;40.8;19;29;5;RUS;54.68;19.48;25-32;RUS (SD 25-32)
26092;37G9;26;55;8.2;19;42.7;5;RUS;55.14;19.71;25-32;RUS (SD 25-32)
26096;38G8;26;55;10.5;19;26.3;5;RUS;55.18;19.44;25-32;RUS (SD 25-32)
26118;39H0;26;55;32.5;20;2.6;5;RUS;55.54;20.04;25-32;RUS (SD 25-32)
26121;39H0;26;55;47.9;19;1.4;5;RUS;55.80;19.02;25-32;RUS (SD 25-32)
26130;40G8;26;54;48.1;19;21.9;6;RUS;54.80;19.37;25-32;RUS (SD 25-32)
26152;41G9;26;55;10.5;19;13.2;5;RUS;55.18;19.22;25-32;RUS (SD 25-32)
26290;41G8;26;55;44.7;18;56.8;5;POL;55.75;18.95;25-32;RUS (SD 25-32)
25099;40G7;25;55;39.3;14;54;4;SWE;55.66;14.90;25-32;SWE (SD 25-32)
25124;40G4;25;55;46.2;15;15.1;3;SWE;55.77;15.25;25-32;SWE (SD 25-32)
25140;40G4;25;55;51.4;15;34.5;3;SWE;55.86;15.58;25-32;SWE (SD 25-32)
25292;39G5;25;55;45.885;15;23.788;3;SWE;55.76;15.40;25-32;SWE (SD 25-32)
25387;39G7;25;55;24.54;14;30.28;3;SWE;55.41;14.50;25-32;SWE (SD 25-32)
25399;40G4;25;55;52.79;15;42.88;3;SWE;55.88;15.71;25-32;SWE (SD 25-32)
25401;40G4;25;55;42.15;14;22.21;2;SWE;55.70;14.37;25-32;SWE (SD 25-32)
25404;40G4;25;55;49.6;15;26.4;3;SWE;55.83;15.44;25-32;SWE (SD 25-32)
25414;40G5;25;55;42.1;14;33;3;SWE;55.70;14.55;25-32;SWE (SD 25-32)
25418;40G6;25;55;42.4;14;22.5;2;SWE;55.71;14.38;25-32;SWE (SD 25-32)
25419;40G6;25;55;41.5;14;22.35;2;SWE;55.69;14.37;25-32;SWE (SD 25-32)
25421;40G6;25;55;41.2;14;27.3;3;SWE;55.69;14.46;25-32;SWE (SD 25-32)
25422;40G7;25;55;41.8;14;24.6;3;SWE;55.70;14.41;25-32;SWE (SD 25-32)
25426;40G5;25;55;49.1;15;15.6;3;SWE;55.82;15.26;25-32;SWE (SD 25-32)
25448;41G7;25;55;38.55;14;44.19;4;SWE;55.64;14.74;25-32;SWE (SD 25-32)
25500;39G6;25;55;28.42;14;39.32;4;SWE;55.47;14.66;25-32;SWE (SD 25-32)
25502;39G6;25;55;27.5;14;28.1;3;SWE;55.46;14.47;25-32;SWE (SD 25-32)
26030;41G8;26;56;7.8;19;51;3;LAT;56.13;19.85;25-32;SWE (SD 25-32)
26067;41G9;26;56;7.5;19;34.2;4;LAT;56.13;19.57;25-32;SWE (SD 25-32)
26071;41G8;26;56;13.7;19;30.3;6;LAT;56.23;19.51;25-32;SWE (SD 25-32)
26073;37G8;26;56;15;19;39;4;LAT;56.25;19.65;25-32;SWE (SD 25-32)
26122;40G8;26;56;0.1;19;17.9;5;LTU;56.00;19.30;25-32;SWE (SD 25-32)
26142;40H0;26;56;12;19;28;6;LAT;56.20;19.47;25-32;SWE (SD 25-32)
26145;41G8;26;56;27.9;19;49.7;6;LAT;56.47;19.83;25-32;SWE (SD 25-32)
26199;39G9;26;56;22.8;19;42.4;6;LAT;56.38;19.71;25-32;SWE (SD 25-32)
26259;40G9;26;56;22;19;52;5;LAT;56.37;19.87;25-32;SWE (SD 25-32)
