NrHaul;Status;Dist;Mean_Depth;Layer;EEZ;NM12;lat1;lon1;lat2;lon2;lat3;lon3;lat4;lon4;lat5;lon5;lat6;lon6;lat7;lon7;lat8;lon8;lat9;lon9;lat10;lon10;lat_end;lon_end;geometry;length;Area
26286;V;0,835824385;97;5;POL;No;55,6183333333333;18,5338888888889;55,6486111111111;18,5513888888889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,6486111111111;18,5513888888889;c(18.5338888888889, 18.5513888888889, 55.6183333333333, 55.6486111111111);3546,59312887634;26
26287;V;1,377321118;81;5;POL;No;54,6019444444444;19,0336111111111;54,5855555555556;19,0008333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,5855555555556;19,0008333333333;c(19.0336111111111, 19.0008333333333, 54.6019444444444, 54.5855555555556);2795,93188619916;26
26288;V;1,055713299;83;5;POL;No;54,6013888888889;19,1352777777778;54,6169444444444;19,1672222222222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,6169444444444;19,1672222222222;c(19.1352777777778, 19.1672222222222, 54.6013888888889, 54.6169444444444);2694,21933137629;26
26289;V;1,570390622;55;3;POL;No;54,4336111111111;19,1011111111111;54,4336111111111;19,1502777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4336111111111;19,1502777777778;c(19.1011111111111, 19.1502777777778, 54.4336111111111, 54.4336111111111);3190,5432641867;26
26290;V;5,429582534;86;5;POL;No;55,6002777777778;18,9683333333333;55,5686111111111;18,9838888888889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,5686111111111;18,9838888888889;c(18.9683333333333, 18.9838888888889, 55.6002777777778, 55.5686111111111);3659,50754054546;26
26291;V;1,67641365;110;6;RUS;No;54,8188888888889;19,3344444444444;54,8508333333333;19,3169444444444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,8508333333333;19,3169444444444;c(19.3344444444444, 19.3169444444444, 54.8188888888889, 54.8508333333333);3729,62783033212;26
26292;I;;54,5;3;LAT;No;56,0822222222222;19,7013888888889;56,0822222222222;19,5688888888889;56,0822222222222;19,7336111111111;56,0988888888889;19,7513888888889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56,0988888888889;19,7513888888889;c(19.7013888888889, 19.5688888888889, 19.7336111111111, 19.7513888888889, 56.0822222222222, 56.0822222222222, 56.0822222222222, 56.0988888888889);20665,7484782644;26
27003;V;2,562779259;54;3;SWE;No;57,4022222222222;17,0180555555556;57,4502777777778;16,9844444444444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,4502777777778;16,9844444444444;c(17.0180555555556, 16.9844444444444, 57.4022222222222, 57.4502777777778);5720,07474747672;27
27004;V;2,40063301;84;5;SWE;No;56,5183333333333;16,9211111111111;56,5822222222222;16,9025;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56,5822222222222;16,9025;c(16.9211111111111, 16.9025, 56.5183333333333, 56.5822222222222);7205,63893729805;27
27005;V;2,216842467;85;5;SWE;No;56,9516666666667;17,1688888888889;56,9177777777778;17,1675;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56,9177777777778;17,1675;c(17.1688888888889, 17.1675, 56.9516666666667, 56.9177777777778);3774,76989787324;27
27007;V;1,575471922;78;4;SWE;No;56,9930555555556;17,9508333333333;57,0244444444444;17,9588888888889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,0244444444444;17,9588888888889;c(17.9508333333333, 17.9588888888889, 56.9930555555556, 57.0244444444444);3529,56719217436;27
27009;V;2,041991329;79;4;SWE;No;57,0825;17,9047222222222;57,1005555555556;17,9152777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,1005555555556;17,9152777777778;c(17.9047222222222, 17.9152777777778, 57.0825, 57.1005555555556);2110,0647515798;27
27010;V;2,102805867;91;5;SWE;No;57,0855555555556;17,2838888888889;57,1191666666667;17,2844444444444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,1191666666667;17,2844444444444;c(17.2838888888889, 17.2844444444444, 57.0855555555556, 57.1191666666667);3743,14215953097;27
27011;I;2,213263111;90;5;SWE;No;57,4513888888889;17,5355555555556;57,485;17,5669444444444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,485;17,5669444444444;c(17.5355555555556, 17.5669444444444, 57.4513888888889, 57.485);4190,39239561022;27
27012;V;2,265992069;82;5;SWE;No;57,5158333333333;17,0380555555556;57,4672222222222;17,0680555555556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,4672222222222;17,0680555555556;c(17.0380555555556, 17.0680555555556, 57.5158333333333, 57.4672222222222);5704,85320719307;27
27013;V;1,807378753;93;5;SWE;No;57,0344444444444;17,8677777777778;57,0672222222222;17,8669444444444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,0672222222222;17,8669444444444;c(17.8677777777778, 17.8669444444444, 57.0344444444444, 57.0672222222222);3650,50943180492;27
27015;V;2,150006591;85;5;SWE;No;57,8325;18,1216666666667;57,8541666666667;18,1169444444444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,8541666666667;18,1169444444444;c(18.1216666666667, 18.1169444444444, 57.8325, 57.8541666666667);2429,36539124925;27
27016;V;2,064863871;94;5;SWE;No;57,3336111111111;17,8691666666667;57,3763888888889;17,9016666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,3763888888889;17,9016666666667;c(17.8691666666667, 17.9016666666667, 57.3336111111111, 57.3763888888889);5150,01034648857;27
27017;V;2,043442787;87;5;SWE;No;57,5158333333333;17,7213888888889;57,4675;17,7336111111111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,4675;17,7336111111111;c(17.7213888888889, 17.7336111111111, 57.5158333333333, 57.4675);5432,48958962347;27
27018;V;2,100169398;96;5;SWE;No;57,7347222222222;18,1680555555556;57,7683333333333;18,1669444444444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,7683333333333;18,1669444444444;c(18.1680555555556, 18.1669444444444, 57.7347222222222, 57.7683333333333);3743,96355639919;27
27019;V;1,640107957;97;5;SWE;No;57,7022222222222;18,2672222222222;57,7338888888889;18,2855555555556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,7338888888889;18,2855555555556;c(18.2672222222222, 18.2855555555556, 57.7022222222222, 57.7338888888889);3692,17052152795;27
27020;V;2,064154781;44;3;SWE;No;57,3525;16,9169444444444;57,3991666666667;16,8930555555556;57,385;16,885;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,385;16,885;c(16.9169444444444, 16.8930555555556, 16.885, 57.3525, 57.3991666666667, 57.385);7042,52807720349;27
27021;V;1,882492463;82;5;SWE;No;56,5341666666667;16,8336111111111;56,5669444444444;16,8502777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56,5669444444444;16,8502777777778;c(16.8336111111111, 16.8502777777778, 56.5341666666667, 56.5669444444444);3791,07296712368;27
27022;V;1,742860122;67;4;SWE;No;56,7005555555556;16,9836111111111;56,7191666666667;16,9855555555556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56,7191666666667;16,9855555555556;c(16.9836111111111, 16.9855555555556, 56.7005555555556, 56.7191666666667);2075,852715624;27
27023;V;3,031355021;92;5;SWE;No;57,0355555555556;17,9172222222222;57,0855555555556;17,9011111111111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57,0855555555556;17,9011111111111;c(17.9172222222222, 17.9011111111111, 57.0355555555556, 57.0855555555556);5653,20232174464;27
