Status;NrHaul;RectangleAlpha;ICES SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Latitude2_deg;Latitude2_dec_min;Longitude2_deg;Longitude2_dec_min;Latitude3_deg;Latitude3_dec_min;Longitude3_deg;Longitude3_dec_min;Latitude4_deg;Latitude4_dec_min;Longitude4_deg;Longitude4_dec_min;Latitude5_deg;Latitude5_dec_min;Longitude5_deg;Longitude5_dec_min;Latitude6_deg;Latitude6_dec_min;Longitude6_deg;Longitude6_dec_min;Latitude7_deg;Latitude7_dec_min;Longitude7_deg;Longitude7_dec_min;Latitude8_deg;Latitude8_dec_min;Longitude8_deg;Longitude8_dec_min;Latitude9_deg;Latitude9_dec_min;Longitude9_deg;Longitude9_dec_min;Latitude10_deg;Latitude10_dec_min;Longitude10_deg;Longitude10_dec_min;0;Mean_Depth;Depth1;Depth2;Depth3;Depth4;Depth5;Depth6;Depth7;Depth8;Depth9;Depth10;Source;EEZ;NM12;Rope;Direction;Distance;0;0;Dist;Layer;Latitude_end_deg;Latitude_end_dec_min;Longitude_end_deg;Longitude_end_dec_min;;
V;22033;40G0;22;55;56,5;10;28,8;55;54,2;10;28,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;19;19;;;;;;;;;Havfisken;DEN;No;;;2,3;;1;2,3;2;55;54,2;10;28,8;;
V;22034;40G0;22;55;59,6;10;38,4;55;59,6;10;42,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;14;14;;;;;;;;;Havfisken;DEN;No;;;2,293086292;;1;2,293086292;2;55;59,6;10;42,5;;
V;22035;40G0;22;55;59;10;52,8;55;58,7;10;56,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;20;20;;;;;;;;;Havfisken;DEN;No;;;2,202461055;;1;2,202461055;2;55;58,7;10;56,7;;
V;22036;40G1;22;55;55,3;11;13,6;55;53,6;11;16,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;17;17;;;;;;;;;Havfisken;DEN;No;;;2,313716664;;1;2,313716664;2;55;53,6;11;16,4;;
V;22037;40G1;22;55;58,9;11;1,8;55;57,2;11;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;19;19;;;;;;;;;Havfisken;DEN;No;;;2,201736096;;1;2,201736096;2;55;57,2;11;4,3;;
V;22043;37G1;22;54;6,12;11;4,46;54;5,16;11;2,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;22;23;;;;;;;;;German R/V;GFR;No;1;1;1,538497399;;2;1,538497399;2;54;5,16;11;2,41;;
V;22044;37G1;22;54;7,13;11;10,01;54;7,92;11;14,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;22;22;;;;;;;;;German R/V;GFR;No;;;2,50137991;;2;2,50137991;2;54;7,92;11;14,06;;
V;22045;37G1;22;54;17,28;11;18,11;54;14,28;11;20,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;19;21;;;;;;;;;German R/V;GFR;No;;;3,27520726;;1;3,27520726;2;54;14,28;11;20,36;;
V;22047;37G1;22;54;18,13;11;25,49;54;13,32;11;25,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;21;21;;;;;;;;;German R/V;GFR;No;1;1;4,810127663;;2;4,810127663;2;54;13,32;11;25,43;;
V;22048;37G1;22;54;14,46;11;37,11;54;13,53;11;31,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;24;25;;;;;;;;;German R/V;GFR;No;1;1;3,458943767;;2;3,458943767;2;54;13,53;11;31,41;;
