;NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ
112;25308;40G7;25;55;44.1;17;55.7;4;POL
113;25322;39G5;25;55;3.1;15;42.6;5;grey
114;25326;39G6;25;55;8.1;16;3.6;5;grey
115;25330;39G5;25;55;15.7;15;58.7;3;DEN
116;25331;39G6;25;55;16.1;16;3.9;5;DEN
117;25339;39G7;25;55;15.5;17;25.5;5;POL
118;25342;39G5;25;55;26.7;15;32.5;5;DEN
119;25344;39G5;25;55;27.4;15;56.2;5;DEN
120;25359;40G6;25;55;48.5;16;31.9;3;SWE
121;25364;38G7;25;54;59.8;17;28;2;POL
122;25380;40G7;25;55;38.5;17;37.8;3;POL
123;25389;40G6;25;55;35.41;16;39.65;3;SWE
124;25394;38G5;25;54;39.4;15;9.08;4;grey
125;25399;40G5;25;55;52.79;15;42.88;3;SWE
126;25401;40G4;25;55;42.15;14;22.21;2;SWE
127;25404;40G5;25;55;49.6;15;26.4;3;SWE
128;25409;40G5;25;55;47.9;15;57.8;3;SWE
129;25418;40G4;25;55;42.4;14;22.5;2;SWE
130;25419;40G4;25;55;41.5;14;22.35;2;SWE
131;25426;40G5;25;55;49.1;15;15.6;3;SWE
132;25432;40G6;25;55;50.2;16;23.2;3;SWE
133;25439;40G4;25;55;35.9;14;33.6;4;SWE
134;25445;40G5;25;55;35.66;15;13.13;4;DEN
135;25447;40G5;25;55;34.67;15;3.8;5;DEN
136;25449;40G4;25;55;27.6;14;43.8;4;DEN
137;25451;39G6;25;55;17.2;16;1.2;5;DEN
138;25452;39G5;25;55;22.4;15;15.6;5;DEN
139;25455;39G7;25;55;27.4;17;17;2;POL
140;25500;39G4;25;55;28.42;14;39.32;4;SWE
141;25502;39G4;25;55;27.5;14;28.1;3;SWE
142;25503;38G6;25;55;9.7;16;3.4;5;grey
143;25504;41G7;25;56;4.648;17;46.153;4;SWE
144;25506;39G5;25;55;28.074;15;57.014;5;DEN
145;25508;39G6;25;55;18.02;16;1.13;5;DEN
146;25509;40G6;25;55;43.78;16;41;4;SWE
147;26011;41H0;26;56;5.4;20;32.8;2;LAT
148;26014;38G9;26;54;26.1;19;3.9;3;POL
149;26022;39H0;26;55;5.9;20;4.3;3;RUS
150;26024;39H0;26;55;10.4;20;0;4;RUS
151;26025;39H0;26;55;12.4;20;9.8;3;RUS
152;26027;40H0;26;55;47.4;20;23.2;3;LTU
153;26030;41G9;26;56;7.8;19;51;3;LAT
154;26032;41G8;26;56;22;18;30.8;3;SWE
155;26036;38G9;26;54;49.3;19;38.9;4;RUS
156;26039;39G9;26;55;0.6;19;40.4;4;RUS
157;26048;39H0;26;55;28.4;20;3.4;4;RUS
158;26050;40G8;26;55;38.3;18;3.6;4;POL
159;26052;40H0;26;55;30.4;20;36.6;4;LTU
160;26055;40G8;26;55;48;18;8;4;POL
161;26073;41G9;26;56;15;19;39;4;LAT
162;26084;38G9;26;54;40.8;19;29;5;RUS
163;26087;38G8;26;54;53;18;54;5;POL
164;26089;38G9;26;54;56.9;19;34.3;5;RUS
165;26096;39G9;26;55;10.5;19;26.3;5;RUS
166;26097;39G9;26;55;21.4;19;55.6;4;RUS
167;26106;39G8;26;55;26.5;18;55.5;5;POL
168;26109;39G9;26;55;22.2;19;29.8;5;RUS
169;26111;40G9;26;55;35;19;2.5;5;RUS
170;26130;39G9;26;54;48.1;19;21.9;6;RUS
171;26134;40H0;26;55;57.08;20;28.61;2;LTU
172;26138;40G8;26;55;52.8;18;49;6;POL
173;26141;41G8;26;56;19;18;40;6;SWE
174;26144;41G9;26;56;22;19;29;6;LAT
175;26147;39G9;26;55;2;19;29;5;RUS
176;26150;39H0;26;55;3.5;20;33.5;2;RUS
177;26156;40G9;26;55;35.5;19;50.7;5;RUS
178;26158;40H0;26;55;51.7;20;6.2;4;LTU
179;26160;41H0;26;56;28.2;20;6.4;5;LAT
180;26166;39G8;26;55;22.3;18;25.6;5;POL
181;26169;38G8;26;54;46.3;18;41.5;2;POL
182;26182;39G8;26;55;2.8;18;18.7;4;POL
183;26199;41G9;26;56;22.8;19;42.4;6;LAT
184;26209;41G9;26;56;18;19;31.5;6;LAT
185;26221;40G8;26;55;55.2;18;35.21;6;SWE
186;26224;41G8;26;56;22.01;18;26.8;2;SWE
187;26225;41G8;26;56;18.8;18;23.29;3;SWE
188;26263;37G8;26;54;23.7;18;59.5;2;POL
189;26266;38G8;26;54;48.2;18;32.9;2;POL
190;26267;38G8;26;54;54.6;18;36.1;3;POL
191;26269;38G9;26;54;36.7;19;9.2;5;POL
192;26273;39G8;26;55;7.9;18;43.4;5;POL
193;26274;38G8;26;54;53.8;18;10.2;2;POL
194;26275;41G8;26;56;0.4;18;8.8;3;SWE
195;26280;37G8;26;54;29.6;18;53.4;4;POL
196;26286;40G8;26;55;37.6;18;32.2;5;POL
197;26291;38G9;26;54;49.8;19;20.4;6;RUS
198;27001;43G6;27;57;23.06;16;53.08;3;SWE
199;27003;43G7;27;57;24.8;17;1.5;3;SWE
200;27004;42G6;27;56;31.6;16;55;4;SWE
201;27011;43G7;27;57;27.5;17;32.8;4;SWE
202;27013;43G7;27;57;2.4;17;52.4;5;SWE
203;27014;44G7;27;57;37;17;6.05;5;SWE
204;27015;44G8;27;57;49;18;7;5;SWE
205;27022;42G6;27;56;42.2;16;59.1;4;SWE
206;27025;43G7;27;57;26.9;17;6.3;4;SWE
207;28001;42H0;28;56;40.4;20;44.8;3;LAT
208;28009;43H1;28;57;24.2;21;20.7;2;LAT
209;28031;42H0;28;56;33.8;20;25.5;4;LAT
210;28042;43H0;28;57;7.8;20;43.6;4;LAT
211;28053;44G9;28;57;32.1;19;17.5;4;SWE
212;28061;45H1;28;58;27.8;21;34.6;4;EST
213;28075;43H0;28;57;12.3;20;40.4;5;LAT
214;28078;45G9;28;58;3.4;19;27.9;5;SWE
215;28093;43H1;28;57;29.3;21;26.2;2;LAT
216;28098;43G9;28;57;20.2;19;8.1;5;SWE
217;28101;43G8;28;57;2.4;18;49.2;4;SWE
218;28103;43G9;28;57;19.8;19;5.1;4;SWE
219;28121;43H1;28;57;22.11;21;15.57;3;LAT
220;28132;43H1;28;57;13.8;21;9.4;3;LAT
221;28136;43H1;28;57;1.86;21;5.66;2;LAT
222;28138;43H1;28;57;4.05;21;7.77;2;LAT
223;28157;42H0;28;56;39.38;20;45.92;2;LAT
224;28161;42H0;28;56;38.1;20;43.9;2;LAT
225;28162;42H0;28;56;39.99;20;42.4;3;LAT
226;28165;43H0;28;57;7.18;20;39.42;5;LAT
227;28177;43G8;28;57;11.07;18;48.65;3;SWE
228;28178;44H1;28;57;31;21;6.3;4;LAT
229;28181;43G9;28;57;21.64;19;5.28;4;SWE
230;28182;44G9;28;57;46.71;19;28.85;5;SWE
231;28186;44G9;28;57;43.06;19;10.32;3;SWE
232;28187;44G9;28;57;39.84;19;7.77;3;SWE
233;28191;45H1;28;58;1.6;21;5.9;4;EST
234;24092;38G4;24;54;52.3;14;57.8;3;DEN
235;24104;39G3;24;55;3.98;13;20.4;3;SWE
236;24156;38G3;24;54;43.32;13;43.57;3;GFR
237;24161;38G3;24;54;46.2;13;58.3;3;GFR
238;24190;38G3;24;54;55.58;13;40.2;3;GFR
239;24195;38G3;24;54;57.6;13;59.1;3;GFR
240;24210;39G3;24;55;1.02;13;18.4;3;SWE
241;24245;39G4;24;55;5.42;14;18.55;3;DEN
242;24289;38G3;24;54;55.9;13;15.5;3;GFR
243;24307;38G4;24;54;43.56;14;42.5;3;DEN
244;24310;38G3;24;54;59.327;13;52.1836;3;GFR
245;24313;39G3;24;55;2.3696;13;25.4476;3;SWE
246;24315;39G3;24;55;4.9;13;43.54;3;SWE
247;24319;39G4;24;55;5;14;10.2;3;DEN
248;24323;39G3;24;55;14.9;13;52.1;3;SWE
249;24324;39G3;24;55;9;13;55.9;3;SWE
250;22013;38G1;22;54;31.38;11;19.27;2;GFR
251;22141;37G1;22;54;14.4;11;25.3;2;GFR
252;22145;37G1;22;54;17.9;11;31.6;2;GFR
253;22146;37G1;22;54;17.75;11;36.3;2;GFR
254;25049;38G5;25;54;32.5;15;46.1;3;POL
255;25084;39G7;25;55;23;17;22;3;POL
256;25413;40G5;25;55;50.1;15;56.8;3;SWE
257;25428;40G6;25;55;45.5;16;40.2;3;SWE
258;25431;40G6;25;55;52.2;16;1.1;3;SWE
259;27024;43G7;27;57;1.9;17;57.5;4;SWE
260;28007;43H1;28;57;20.6;21;18.9;3;LAT
