"NrHaul";"RectangleAlpha";"ICES.SD";"Latitude1_deg";"Latitude1_dec_min";"Longitude1_deg";"Longitude1_dec_min";"Layer";"EEZ"
"128";25394;"40G4";25;54;39.4;15;9.08;4;"grey"
"129";25401;"40G4";25;55;42.15;14;22.21;2;"SWE"
"130";25404;"40G4";25;55;49.6;15;26.4;3;"SWE"
"131";25405;"40G4";25;55;54.7;15;34.1;3;"SWE"
"132";25407;"40G5";25;55;3.9;16;9.9;4;"POL"
"133";25409;"40G5";25;55;47.9;15;57.8;3;"SWE"
"134";25413;"40G5";25;55;50.1;15;56.8;3;"SWE"
"135";25418;"40G6";25;55;42.4;14;22.5;2;"SWE"
"136";25419;"40G6";25;55;41.5;14;22.35;2;"SWE"
"137";25421;"40G6";25;55;41.2;14;27.3;3;"SWE"
"138";25422;"40G7";25;55;41.8;14;24.6;3;"SWE"
"139";25426;"40G5";25;55;49.1;15;15.6;3;"SWE"
"140";25429;"40G5";25;55;57.91;15;24.6;3;"SWE"
"141";25431;"40G6";25;55;52.2;16;1.1;3;"SWE"
"142";25447;"41G7";25;55;34.67;15;3.8;5;"DEN"
"143";25449;"41G7";25;55;27.6;14;43.8;4;"DEN"
"144";25450;"41G7";25;55;40.6;16;32.3;4;"SWE"
"145";25452;"41G6";25;55;22.4;15;15.6;5;"DEN"
"146";25455;"41G6";25;55;27.4;17;17;2;"POL"
"147";25461;"39G5";25;56;4.05;17;21.87;3;"SWE"
"148";25462;"39G6";25;55;45.979;16;41.02;3;"SWE"
"149";25463;"38G6";25;55;14.2;17;18.2;5;"POL"
"150";25500;"39G6";25;55;28.42;14;39.32;4;"SWE"
"151";25501;"39G6";25;55;18.9;14;55.9;4;"DEN"
"152";25502;"39G6";25;55;27.5;14;28.1;3;"SWE"
"153";25505;"39G5";25;55;43.552;16;40.632;3;"SWE"
"154";25506;"39G5";25;55;28.074;15;57.014;5;"DEN"
"155";25507;"39G5";25;55;39.285;15;47.099;4;"SWE"
"156";25508;"39G5";25;55;18.02;16;1.13;5;"DEN"
"157";25510;"40G5";25;55;44.5;16;3.6;4;"SWE"
"158";26007;"37G9";26;54;51.5;18;34;2;"POL"
"159";26013;"38G8";26;56;22;18;29;2;"SWE"
"160";26019;"38G8";26;54;53.2;18;38;3;"POL"
"161";26020;"38G8";26;54;47.2;18;42.3;3;"POL"
"162";26022;"38G8";26;55;5.9;20;4.3;3;"RUS"
"163";26024;"39H0";26;55;10.4;20;0;4;"RUS"
"164";26030;"41G8";26;56;7.8;19;51;3;"LAT"
"165";26038;"37G9";26;54;53.1;18;40;4;"POL"
"166";26050;"38G8";26;55;38.3;18;3.6;4;"POL"
"167";26052;"39H0";26;55;30.4;20;36.6;4;"LTU"
"168";26069;"41G8";26;56;13.1;18;25.2;4;"SWE"
"169";26071;"41G8";26;56;13.7;19;30.3;6;"LAT"
"170";26074;"37G9";26;56;23;18;35;4;"SWE"
"171";26081;"37G9";26;56;27;20;12;5;"LAT"
"172";26086;"38G8";26;54;58.5;18;48;5;"POL"
"173";26093;"38G9";26;55;10.5;18;39;5;"POL"
"174";26096;"38G8";26;55;10.5;19;26.3;5;"RUS"
"175";26097;"38G8";26;55;21.4;19;55.6;4;"RUS"
"176";26099;"38G8";26;55;28.3;18;18.2;5;"POL"
"177";26104;"38G8";26;55;22.3;18;33;5;"POL"
"178";26109;"39G8";26;55;22.2;19;29.8;5;"RUS"
"179";26111;"39G9";26;55;35;19;2.5;5;"RUS"
"180";26118;"39H0";26;55;32.5;20;2.6;5;"RUS"
"181";26125;"40H0";26;56;24;18;38.3;5;"SWE"
"182";26129;"40H0";26;54;59.7;19;18.6;6;"RUS"
"183";26130;"40G8";26;54;48.1;19;21.9;6;"RUS"
"184";26131;"40G8";26;54;24;19;2.4;2;"POL"
"185";26132;"40G9";26;54;32.3;18;54.6;4;"POL"
"186";26133;"40H0";26;54;42.1;18;46.6;3;"POL"
"187";26134;"40H0";26;55;57.08;20;28.61;2;"LTU"
