NrHaul;Type;sekvens;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ;Rec9;
27;22124;1;17;38G10;22;54;48.88;10;17.53;2;DEN;38G10 4
28;22125;1;16;38G11;22;55;24.08;10;48.95;2;DEN;38G11 9
29;22127;1;15;38G13;22;54;35.69;11;13.62;2;GFR;38G13 1
30;22130;1;22;38G16;22;55;19.93;10;53.86;2;DEN;38G16 6
31;22135;1;30;38G20;22;54;37.4;11;5;2;GFR;38G20 1
32;22140;1;31;38G25;22;54;25.9;11;37;2;DEN;38G25 8
33;22141;1;32;38G26;22;54;14.4;11;25.3;2;GFR;38G26 5
34;22143;1;33;38G28;22;54;12.9;11;33.1;2;GFR;38G28 5
35;22144;1;18;38G29;22;54;18.23;11;29.17;2;GFR;38G29 5
36;22145;1;20;38G30;22;54;17.9;11;31.6;2;GFR;38G30 5
37;24001;1;40;37G4;24;54;23.05;12;11.63;2;GFR;37G4 7
38;24002;1;41;37G2;24;54;26.48;12;20.88;2;GFR;37G2 8
39;24004;1;37;37G2;24;54;29;14;45.2;2;POL;37G2 9
40;24006;1;38;37G4;24;54;35.31;12;27.37;2;GFR;37G4 2
41;24009;1;39;37G4;24;54;31.54;13;57.76;2;GFR;37G4 3
42;24020;1;52;38G2;24;55;16.17;13;55.99;2;SWE;38G2 6
43;24021;1;51;38G2;24;54;29.57;13;43.66;2;GFR;38G2 9
44;24022;1;53;38G3;24;54;26.75;14;57.3;2;POL;38G3 9
45;24025;1;66;38G4;24;54;39.14;13;44.01;2;GFR;38G4 3
46;24039;1;44;38G4;24;54;39.36;14;9.47;2;GFR;38G4 1
47;24055;1;45;38G2;24;54;34.16;14;43.13;2;grey;38G2 3
48;24059;1;76;38G3;24;54;46.77;12;21.78;2;DEN;38G3 5
49;24067;1;57;38G4;24;54;48.79;13;25.34;3;GFR;38G4 5
50;24069;1;72;38G4;24;54;44.72;13;30.44;2;GFR;38G4 5
51;24080;1;50;38G2;24;54;40.88;14;26.16;2;DEN;38G2 5
52;24085;1;67;38G2;24;54;47.53;14;41.5;3;DEN;38G2 6
53;24089;1;48;38G3;24;54;54.1254;12;54;3;DEN;38G3 9
54;24093;1;42;38G3;24;55;5.9;12;47.2;2;DEN;38G3 3
55;24101;1;55;38G4;24;55;6.87;13;52.47;3;SWE;38G4 3
56;24107;1;58;38G4;24;55;16.4;13;44.6;3;SWE;38G4 6
57;24125;1;47;38G4;24;55;15.71;13;57.57;2;SWE;38G4 6
58;24142;1;46;38G2;24;55;16.4;14;5;2;SWE;38G2 4
59;24150;1;86;38G2;24;54;36.77;14;46.61;3;grey;38G2 3
60;24151;1;78;38G2;24;54;48.56;13;10.92;3;GFR;38G2 4
61;24164;1;79;39G3;24;54;40.17;14;40.29;3;DEN;39G3 6
62;24171;1;85;39G3;24;54;56.32;13;5.39;3;GFR;39G3 7
63;24183;1;62;39G4;24;55;0;13;31.7;3;GFR;39G4 2
64;24190;1;63;39G4;24;54;55.58;13;40.2;3;GFR;39G4 9
65;24195;1;71;38G4;24;54;57.6;13;59.1;3;GFR;38G4 9
66;24225;1;68;38G3;24;55;4.17;13;39.5;3;SWE;38G3 2
67;24228;1;73;38G3;24;55;0.57;13;40.37;3;GFR;38G3 3
68;24245;1;70;38G4;24;55;5.42;14;18.55;3;DEN;38G4 1
69;24252;1;60;38G4;24;55;12.47;13;10.47;3;SWE;38G4 4
70;24267;1;77;38G5;24;55;15.4;13;59.9;2;SWE;38G5 6
71;24278;1;75;38G3;24;54;46.1;15;0;3;grey;38G3 4
72;24280;1;49;38G3;24;54;41.32;12;11.83;2;DEN;38G3 4
73;24286;1;56;38G3;24;54;41.56;14;39.445;3;DEN;38G3 5
74;24298;1;74;38G4;24;54;55;12;58;2;DEN;38G4 9
75;24300;1;65;39G3;24;54;51.74;14;47.68;2;DEN;39G3 9
76;24301;1;54;39G3;24;55;3.36;13;38.36;2;SWE;39G3 2
77;24303;1;43;39G3;24;55;18.83;13;55.94;2;SWE;39G3 6
78;24306;1;69;38G3;24;54;42.582;13;47.324;3;GFR;38G3 6
79;24309;1;61;39G3;24;54;52.3756;13;34.2694;3;GFR;39G3 8
80;24313;1;80;39G3;24;55;2.3696;13;25.4476;3;SWE;39G3 2
81;24316;1;83;39G3;24;55;9.276;14;3.96;3;SWE;39G3 1
82;24324;1;59;39G4;24;55;9;13;55.9;3;SWE;39G4 3
83;24325;1;81;39G4;24;54;36.4;12;36.15;2;GFR;39G4 2
84;24328;1;82;39G4;24;54;38.39;12;41.08;2;GFR;39G4 3
85;24329;1;64;39G3;24;54;26;14;15.6;2;GFR;39G3 7
86;24335;1;84;39G4;24;54;11.5;14;18.6;2;GFR;39G4 4
87;25004;3;223;37G5;25;54;52.7;16;38.6;2;POL;37G5 8
88;25006;3;224;37G5;25;54;26;15;8.8;2;POL;37G5 7
89;25008;3;222;37G5;25;54;23;15;34;2;POL;37G5 8
90;25009;3;215;37G6;25;54;22.9;15;47.3;2;POL;37G6 9
91;25010;3;219;37G6;25;54;26.8;16;5.3;2;POL;37G6 7
92;25011;3;220;38G6;25;54;24.7;16;3;2;POL;38G6 7
93;25013;3;216;38G6;25;54;39;16;23.6;2;POL;38G6 2
94;25014;3;229;38G6;25;54;41.6;16;38.7;2;POL;38G6 5
95;25016;3;268;38G6;25;54;44.6;16;49;2;POL;38G6 6
96;25017;3;225;38G6;25;54;44.2;16;52.3;2;POL;38G6 6
97;25022;3;235;38G7;25;54;57.4;17;25;2;POL;38G7 8
98;25024;3;242;38G7;25;54;51;17;28;2;POL;38G7 8
99;25030;1;257;38G7;25;55;29.3;17;27.8;3;POL;38G7 8
100;25038;1;125;39G7;25;56;9;17;45;3;SWE;39G7 3
101;25041;1;107;40G4;25;54;24.9;15;41;3;POL;40G4 9
102;25042;1;251;37G5;25;54;32;16;0;3;POL;37G5 1
103;25046;1;252;37G5;25;54;33.4;15;26.4;3;POL;37G5 2
104;25047;1;150;37G5;25;54;37.7;15;31.6;4;POL;37G5 2
105;25049;1;254;38G5;25;54;32.5;15;46.1;3;POL;38G5 3
106;25052;1;253;38G5;25;54;38.4;16;4.5;3;POL;38G5 1
107;25053;1;256;38G6;25;54;48.1;15;0.8;3;DEN;38G6 4
108;25060;1;255;38G5;25;54;50.3;16;3.1;3;POL;38G5 7
109;25062;1;113;39G6;25;54;56.3;16;14.6;3;POL;39G6 7
110;25066;1;258;39G4;25;55;0;16;17;3;POL;39G4 1
111;25067;1;259;39G4;25;55;2.6;16;24;3;POL;39G4 2
112;25080;1;87;39G6;25;55;24.3;16;44.9;3;POL;39G6 9
113;25081;1;92;39G7;25;55;24.2;16;51;3;POL;39G7 9
114;25084;1;89;39G7;25;55;23;17;22;3;POL;39G7 8
115;25100;2;237;40G4;25;55;38.2;15;6.2;5;DEN;40G4 1
116;25107;1;91;40G4;25;55;33.2;17;36;3;POL;40G4 2
117;25124;1;101;40G4;25;55;46.2;15;15.1;3;SWE;40G4 4
118;25142;1;102;40G4;25;55;55.2;15;34.2;3;SWE;40G4 8
119;25149;1;112;40G5;25;55;52.4;16;25.5;3;SWE;40G5 8
120;25177;1;279;39G8;25;54;46.3;15;17.3;4;grey;39G8 4
121;25180;1;264;40G7;25;54;47.5;15;42;4;grey;40G7 6
122;25182;1;109;40G5;25;54;53.3;15;17.5;3;DEN;40G5 7
123;25189;1;105;40G5;25;54;52.5;15;25.9;4;grey;40G5 8
124;25192;2;230;40G5;25;54;50;15;36;5;grey;40G5 8
125;25197;1;263;40G6;25;55;8;15;17;4;DEN;40G6 1
126;25229;1;127;38G5;25;55;16.7;16;52.3;4;POL;38G5 6
127;25231;1;129;38G5;25;55;19.3;17;17.4;4;POL;38G5 4
128;25232;1;131;38G5;25;55;18.7;17;20;4;POL;38G5 5
129;25248;1;126;38G5;25;55;21.1;17;27.7;4;POL;38G5 8
130;25268;1;128;38G5;25;55;37.4;14;52.2;4;SWE;38G5 3
131;25277;1;130;38G5;25;55;34.4;15;34.8;4;DEN;38G5 2
132;25283;1;137;39G5;25;55;35.3;16;11.5;4;SWE;39G5 1
133;25286;1;133;39G5;25;55;34.9;16;26.1;4;SWE;39G5 2
134;25292;1;260;39G5;25;55;45.885;15;23.788;3;SWE;39G5 5
135;25297;1;138;39G5;25;55;43.6;15;19.2;4;SWE;39G5 4
136;25302;1;136;39G4;25;55;42.4;16;10.8;4;SWE;39G4 4
137;25308;1;141;39G5;25;55;44.1;17;55.7;4;POL;39G5 6
138;25313;1;276;39G7;25;56;6.22;17;50.51;4;SWE;39G7 3
139;25314;1;139;39G7;25;56;21;16;58;4;SWE;39G7 9
140;25316;1;96;39G4;25;54;56;15;38;4;grey;39G4 8
141;25322;2;270;39G5;25;55;3.1;15;42.6;5;grey;39G5 3
142;25326;2;271;39G5;25;55;8.1;16;3.6;5;grey;39G5 1
143;25330;2;233;39G5;25;55;15.7;15;58.7;5;DEN;39G5 6
144;25333;1;144;39G6;25;55;19;16;11;4;DEN;39G6 4
145;25339;2;272;39G6;25;55;15.5;17;25.5;5;POL;39G6 5
146;25341;2;273;39G7;25;55;20.94;15;22.27;5;DEN;39G7 8
147;25342;2;245;39G7;25;55;26.7;15;32.5;5;DEN;39G7 8
148;25344;2;227;39G7;25;55;27.4;15;56.2;5;DEN;39G7 9
149;25359;1;90;39G7;25;55;48.5;16;31.9;3;SWE;39G7 5
150;25364;3;241;39G7;25;54;59.8;17;28;2;POL;39G7 8
151;25380;1;88;39G7;25;55;38.5;17;37.8;3;POL;39G7 2
152;25391;1;95;40G4;25;55;40.1;14;43.46;3;SWE;40G4 6
153;25394;1;280;40G4;25;54;39.4;15;9.08;4;grey;40G4 1
154;25401;3;243;40G4;25;55;42.15;14;22.21;2;SWE;40G4 5
155;25404;1;94;40G4;25;55;49.6;15;26.4;3;SWE;40G4 5
156;25407;1;281;40G5;25;55;3.9;16;9.9;4;POL;40G5 1
157;25410;1;282;40G5;25;56;2.9;17;44.5;4;SWE;40G5 3
158;25413;1;118;40G5;25;55;50.1;15;56.8;3;SWE;40G5 9
159;25416;1;274;40G5;25;55;41.56;14;22.75;3;SWE;40G5 5
160;25418;3;244;40G6;25;55;42.4;14;22.5;2;SWE;40G6 5
161;25419;3;247;40G6;25;55;41.5;14;22.35;2;SWE;40G6 5
162;25421;1;145;40G6;25;55;41.2;14;27.3;3;SWE;40G6 5
163;25422;1;149;40G7;25;55;41.8;14;24.6;3;SWE;40G7 5
164;25426;1;106;40G5;25;55;49.1;15;15.6;3;SWE;40G5 4
165;25428;1;108;40G5;25;55;45.5;16;40.2;3;SWE;40G5 6
166;25431;1;154;40G6;25;55;52.2;16;1.1;3;SWE;40G6 7
167;25432;1;117;40G6;25;55;50.2;16;23.2;3;SWE;40G6 8
168;25433;1;103;40G6;25;54;50.3;15;27.3;4;grey;40G6 8
169;25444;1;146;40G7;25;55;38.42;14;52.96;4;SWE;40G7 3
170;25445;1;111;40G7;25;55;35.66;15;13.13;4;DEN;40G7 1
171;25447;2;228;41G7;25;55;34.67;15;3.8;5;DEN;41G7 1
172;25449;1;275;41G7;25;55;27.6;14;43.8;4;DEN;41G7 9
173;25449;1;275;41G6;25;55;43.78;16;41;3;SWE;41G6 6
174;25450;2;231;41G6;25;55;40.6;16;32.3;4;SWE;41G6 5
175;25450;2;231;41G6;25;55;18.02;16;1.13;5;DEN;41G6 4
176;25452;2;232;38G5;25;55;22.4;15;15.6;5;DEN;38G5 7
177;25455;3;248;39G5;25;55;27.4;17;17;2;POL;39G5 7
178;25456;1;134;39G6;25;55;23.3;17;6.7;4;POL;39G6 7
179;25457;1;135;38G6;25;55;20.7;17;10.9;4;POL;38G6 7
180;25461;1;93;39G6;25;56;4.05;17;21.87;3;SWE;39G6 2
181;25462;1;104;39G6;25;55;46.23;16;40.9;3;SWE;39G6 6
182;25463;2;239;39G6;25;55;14.2;17;18.2;5;POL;39G6 4
183;25500;1;278;39G7;25;55;28.42;14;39.32;4;SWE;39G7 8
184;25501;1;277;39G7;25;55;18.9;14;55.9;4;DEN;39G7 6
185;25502;1;262;39G5;25;55;27.5;14;28.1;3;SWE;39G5 8
186;25503;2;234;39G5;25;55;9.358;16;3.988;5;grey;39G5 1
187;25505;1;261;39G5;25;55;43.552;16;40.632;3;SWE;39G5 6
188;25506;2;226;39G5;25;55;28.074;15;57.014;5;DEN;39G5 9
189;25508;2;240;40G5;25;55;18.02;16;1.13;5;DEN;40G5 4
190;26001;1;110;37G8;26;54;22.9;19;14.4;2;POL;37G8 7
191;26007;1;147;37G9;26;54;51.5;18;34;2;POL;37G9 8
192;26013;1;148;38G8;26;56;22;18;29;2;SWE;38G8 8
193;26014;1;122;38G8;26;54;26.1;19;3.9;3;POL;38G8 7
194;26023;1;121;38G8;26;55;8.3;20;19.8;3;RUS;38G8 1
195;26025;1;152;39H0;26;55;12.4;20;9.8;3;RUS;39H0 4
196;26027;1;140;41H0;26;55;47.4;20;23.2;3;LAT;41H0 5
197;26032;1;116;37G9;26;56;22;18;30.8;3;SWE;37G9 8
198;26038;1;100;37G9;26;54;53.1;18;40;4;POL;37G9 9
199;26045;1;132;37G9;26;55;16.7;19;5;4;POL;37G9 4
200;26058;1;288;40H0;26;55;40.1;20;17.6;4;LTU;40H0 4
201;26060;1;289;40H0;26;55;59.2;19;19.3;4;LTU;40H0 7
202;26064;1;155;41G8;26;56;1.5;19;26.1;4;LTU;41G8 2
203;26069;1;156;41G8;26;56;13.1;18;25.2;4;SWE;41G8 5
204;26078;1;99;37G9;26;56;21;20;2;4;LAT;37G9 7
205;26081;1;167;37G9;26;56;27;20;12;5;LAT;37G9 7
206;26094;1;176;38G9;26;55;11.8;18;57;5;POL;38G9 6
207;26096;1;166;38G8;26;55;10.5;19;26.3;5;RUS;38G8 5
208;26101;1;170;38G8;26;55;25;18;24.2;5;POL;38G8 8
209;26108;1;188;39G9;26;55;21.6;19;15.8;5;RUS;39G9 7
210;26109;1;186;39G8;26;55;22.2;19;29.8;5;RUS;39G8 8
211;26117;1;187;39G9;26;55;34.8;19;44.2;5;RUS;39G9 3
212;26118;1;189;39H0;26;55;32.5;20;2.6;5;RUS;39H0 1
213;26124;1;178;40H0;26;56;17;18;32;5;SWE;40H0 5
214;26125;1;191;40H0;26;56;24;18;38.3;5;SWE;40H0 8
215;26128;1;123;40H0;26;55;20.8;20;39.1;2;RUS;40H0 8
216;26129;1;202;40H0;26;54;59.7;19;18.6;6;RUS;40H0 7
217;26131;1;266;40G8;26;54;24;19;2.4;2;POL;40G8 7
218;26132;1;97;40G9;26;54;32.3;18;54.6;4;POL;40G9 3
219;26133;1;284;40H0;26;54;42.1;18;46.6;3;POL;40H0 6
220;26135;1;203;40H0;26;54;56.4;19;24.2;6;RUS;40H0 8
221;26138;1;163;40H0;26;55;52.8;18;49;6;POL;40H0 9
222;26140;1;201;40H0;26;56;0.4;18;54.1;6;SWE;40H0 3
223;26141;1;198;40G9;26;56;19;18;40;6;LAT;40G9 6
224;26154;1;192;41G8;26;55;32.5;19;29.1;5;RUS;41G8 2
225;26158;1;98;38G9;26;55;51.7;20;6.2;4;LTU;38G9 7
226;26160;1;165;38G9;26;56;28.865;20;7.94;5;LAT;38G9 7
227;26163;1;151;38G9;26;54;24.9;19;18.9;3;POL;38G9 7
228;26167;1;143;38G8;26;54;59.1;18;30.3;4;POL;38G8 8
229;26168;1;286;38G8;26;54;38.9;18;50.2;4;POL;38G8 3
230;26177;1;115;39G8;26;54;54;18;10;2;POL;39G8 7
231;26195;1;287;39G9;26;55;40.6;20;5.3;4;LTU;39G9 4
232;26212;1;177;39G8;26;55;33.1;18;24.3;5;POL;39G8 2
233;26216;1;265;39G9;26;54;23.9;19;16.3;2;POL;39G9 7
234;26217;1;153;39G9;26;54;24.7;19;17.5;3;POL;39G9 7
235;26221;1;200;40G8;26;55;55.2;18;35.21;6;SWE;40G8 8
236;26224;1;120;40G8;26;56;22.01;18;26.8;2;SWE;40G8 8
237;26225;1;283;40G8;26;56;18.8;18;23.29;3;SWE;40G8 5
238;26257;1;199;40G9;26;54;55.5;19;3;6;POL;40G9 7
239;26264;1;285;40H0;26;54;25.2;19;2.1;3;POL;40H0 7
240;26265;1;124;40G8;26;54;26;19;6;3;POL;40G8 7
241;26266;1;119;39G8;26;54;48.2;18;32.9;2;POL;39G8 5
242;26269;1;194;41G8;26;54;36.7;19;9.2;5;POL;41G8 1
243;26271;1;157;41G9;26;54;59.8;18;30.7;4;POL;41G9 8
244;26274;1;114;41H0;26;54;53.8;18;10.2;2;POL;41H0 7
245;26278;1;179;38G9;26;54;59;18;46.2;5;POL;38G9 9
246;26279;1;142;38G9;26;54;32.8;18;56.6;4;POL;38G9 3
247;26282;1;267;41G8;26;54;25.3;19;3.9;3;POL;41G8 7
248;26288;1;193;41G9;26;54;36.5;19;8.7;5;POL;41G9 1
249;26291;1;211;41G10;26;54;49.8;19;20.4;6;RUS;41G10 5
250;27007;1;212;42G6;27;56;59.35;17;56.63;4;SWE;42G6 9
251;27009;1;173;42G6;27;57;4;17;54;4;SWE;42G6 3
252;27010;1;208;42G6;27;57;5.8;17;17.2;5;SWE;42G6 1
253;27015;1;183;43G7;27;57;49;18;7;5;SWE;43G7 4
254;27016;1;195;43G7;27;57;20.1;17;52.9;5;SWE;43G7 9
255;27017;1;205;43G7;27;57;30;17;43;5;SWE;43G7 3
256;27020;1;161;43G7;27;57;21.9;16;55.1;3;SWE;43G7 9
257;27025;1;213;43G7;27;57;26.9;17;6.3;4;SWE;43G7 7
258;27029;1;210;44G8;27;57;18.13;17;24.98;4;SWE;44G8 5
259;27031;1;185;44G8;27;57;1.265;17;7.966;3;SWE;44G8 1
260;28005;1;184;43H1;28;57;12.4;21;6.5;3;LAT;43H1 4
261;28009;3;269;43H1;28;57;24.2;21;20.7;2;LAT;43H1 8
262;28020;1;168;42H0;28;57;18.5;20;56.3;3;LAT;42H0 6
263;28043;1;171;43H1;28;57;11;20;43.2;4;LAT;43H1 6
264;28067;1;164;42H0;28;57;6.5;18;57.1;5;SWE;42H0 3
265;28070;1;190;42H0;28;57;8;20;35;5;LAT;42H0 2
266;28071;1;196;43G8;28;57;10;19;1.4;5;SWE;43G8 4
267;28074;1;182;43G8;28;57;10.5;20;35.2;5;LAT;43G8 5
268;28075;1;214;43H0;28;57;12.3;20;40.4;5;LAT;43H0 6
269;28088;1;218;43H0;28;57;26.7;20;34.2;5;LAT;43H0 8
270;28093;3;249;43H1;28;57;29.3;21;26.2;2;LAT;43H1 8
271;28094;1;217;43H1;28;56;56.4;20;23;5;LAT;43H1 8
272;28099;1;206;43H0;28;57;48.8;19;32;5;SWE;43H0 5
273;28104;1;209;43H1;28;57;51.3;19;28.2;4;SWE;43H1 8
274;28109;1;221;44G9;28;57;20.3;19;13.9;6;SWE;44G9 7
275;28110;1;172;44H1;28;57;20.7;21;12.6;4;LAT;44H1 7
276;28116;1;174;44G9;28;57;45.51;21;24;4;LAT;44G9 5
277;28126;1;197;44H1;28;57;14.68;21;5.63;3;LAT;44H1 4
278;28136;3;246;45G9;28;57;1.86;21;5.66;2;LAT;45G9 1
279;28138;3;236;45G9;28;57;4.05;21;7.77;2;LAT;45G9 1
280;28144;1;207;42H0;28;57;19.7;20;42.98;4;LAT;42H0 6
281;28157;3;250;43H0;28;56;39.38;20;45.92;2;LAT;43H0 3
282;28161;3;238;43G9;28;56;38.1;20;43.9;2;LAT;43G9 3
283;28165;1;175;43H0;28;57;7.18;20;39.42;5;LAT;43H0 2
284;28167;1;180;43G9;28;56;37.7;20;34.9;3;LAT;43G9 2
285;28173;1;159;43H0;28;56;38.85;20;36.28;3;LAT;43H0 2
286;28179;1;160;45G9;28;57;12.9;18;51.2;3;SWE;45G9 6
287;28181;1;169;42G8;28;57;21.64;19;5.28;4;SWE;42G8 7
288;28182;1;158;42G8;28;57;46.71;19;28.85;5;SWE;42G8 5
289;28184;1;162;43H0;28;57;41.77;19;24.33;4;SWE;43H0 5
290;28187;1;181;43G9;28;57;39.84;19;7.77;3;SWE;43G9 1
291;28190;1;204;42G9;28;57;58.9;20;58.43;5;EST;42G9 9
