RectangleAlpha;NrHaul;Area;Layer;Dist;Mean_Depth;EEZ;NM12;Status;Remark;Lat_start_deg_dec;Lon_start_deg_dec;Lat_end_deg_dec;Lon_end_deg_dec;type;Country;Pct
37G8;26168;26;4;1,562623564;68;POL;No;V;NA;54,6483333333333;18,8366666666667;54,6716666666667;18,8166666666667;Allocated;PL;100
37G9;26210;26;4;1,805042924;63;POL;No;V;NA;54,4516666666667;19,1716666666667;54,4533333333333;19,12;Allocated;PL;100
37G9;26001;26;2;1,397719455;21;POL;No;V;NA;54,3816666666667;19,24;54,3816666666667;19,28;Allocated;PL;100
37G9;26034;26;4;1,451757368;71;POL;No;V;NA;54,5;19,225;54,5;19,1833333333333;Allocated;PL;100
37G9;26265;26;3;1,525396193;54;POL;No;V;NA;54,4333333333333;19,1;54,4366666666667;19,1433333333333;Allocated;PL;100
37G9;26217;26;3;1,353415389;43;POL;No;V;NA;54,4116666666667;19,2916666666667;54,4083333333333;19,2533333333333;Allocated;PL;100
38F9;22124;22;2;2,505677405;33;DEN;No;V;NA;54,8146666666667;10,2921666666667;NA;NA;Allocated;DK;100
38G3;24183;24;3;2,839524533;49;GFR;No;V;NA;55;13,5283333333333;54,9726666666667;13,5956666666667;Allocated;DE;100
38G3;24063;24;2;3,200534069;29;GFR;No;V;NA;54,71;13,15;54,7068333333333;13,2421666666667;Allocated;DE;100
38G3;24171;24;3;1,459409863;42;GFR;No;V;NA;54,9386666666667;13,0898333333333;54,9391666666667;13,1321666666667;Allocated;DE;100
38G3;24195;24;3;3,652166749;49;GFR;No;V;NA;54,96;13,985;54,9816666666667;13,8866666666667;Allocated;DE;100
38G3;24192;24;3;3,63405953;43;GFR;No;V;NA;54,865;13,835;54,865;13,73;Allocated;DE;100
38G3;24069;24;2;2,514612406;34;GFR;No;V;NA;54,7453333333333;13,5073333333333;54,7088333333333;13,543;Allocated;DE;100
38G3;24009;24;2;3,253830553;18;GFR;No;V;NA;54,5256666666667;13,9626666666667;54,4918333333333;14,0356666666667;Allocated;DE;100
38G3;24030;24;2;1,918641507;22;GFR;No;V;NA;54,557;13,8016666666667;54,5258333333333;13,814;Allocated;DE;100
38G3;24173;24;3;1,570807601;46;GFR;No;V;NA;54,8763333333333;13,219;54,8766666666667;13,1735;Allocated;DE;100
38G3;24161;24;3;2,502154528;46;GFR;No;V;NA;54,77;13,9716666666667;54,8063333333333;13,9361666666667;Mooved to new Layer;DE;100
38G3;24289;24;3;2,107630024;47;GFR;No;V;NA;54,9316666666667;13,2583333333333;54,9666666666667;13,26;Allocated;DE;100
38G5;25193;25;4;1,672611578;75;DEN;No;V;NA;54,85;15,69;54,8483333333333;15,7383333333333;Allocated;DK;100
38G5;25182;25;3;3,441409717;58;DEN;No;V;NA;54,8883333333333;15,2916666666667;54,835;15,255;Allocated;DK;100
38G5;25053;25;3;3,056390015;58;DEN;No;V;NA;54,8016666666667;15,0133333333333;54,805;14,9883333333333;Allocated;DK;100
38G5;25195;25;4;3,182553975;71;DEN;No;V;NA;54,8833333333333;15,85;54,8333333333333;15,8333333333333;Allocated;DK;100
38G5;25054;25;4;1,644892053;62;POL;No;V;NA;54,715;15,7783333333333;54,72;15,825;Mooved to new Layer;DK;100
38G5;25177;25;4;3,282133212;66;DEN;No;V;NA;54,7716666666667;15,2883333333333;54,8216666666667;15,3266666666667;Allocated;DK;100
38G5;25049;25;3;2,159467104;55;POL;No;V;NA;54,5416666666667;15,7683333333333;54,5583333333333;15,8233333333333;Allocated;DE;100
38G5;24278;24;3;1,768338384;58;DEN;No;V;NA;54,7683333333333;15;54,7416666666667;14,9783333333333;Allocated;DK;100
38G5;25180;25;4;1,812171894;71;DEN;No;V;NA;54,7916666666667;15,7;54,7826666666667;15,75;Allocated;DK;100
38G5;25051;25;3;2,726063213;52;POL;No;V;NA;54,645;15,9133333333333;54,6116666666667;15,9666666666667;Allocated;DE;100
38G5;25060;25;3;1,644921807;54;POL;No;V;NA;54,8383333333333;16,0516666666667;54,8616666666667;16,0766666666667;Allocated;DK;100
38G5;25046;25;3;3,726507765;59;POL;No;V;NA;54,5566666666667;15,44;54,5733333333333;15,4233333333333;Allocated;DK;100
38G5;25059;25;4;4,091580581;60;DEN;No;V;NA;54,8933333333333;15,1733333333333;54,8733333333333;15,06;Allocated;DK;100
38G5;25192;25;5;4,909742499;80;DEN;No;V;NA;54,8333333333333;15,6;54,8616666666667;15,7333333333333;Allocated;DK;100
38G5;25175;25;4;1,061121475;65;POL;No;V;NA;54,6766666666667;15,6383333333333;54,6833333333333;15,6666666666667;Allocated;DK;100
38G5;25394;25;4;0,144366428;61;DEN;No;V;NA;54,6566666666667;15,1513333333333;54,6583333333333;15,1483333333333;Allocated;DK;100
38G5;25318;25;4;2,499261157;75;DEN;No;V;NA;54,93;15,69;54,937;15,6566666666667;Allocated;DK;100
38G5;25189;25;4;1,63201119;75;DEN;No;V;NA;54,875;15,4316666666667;54,85;15,45;Allocated;DK;100
38G5;25048;25;4;1,604198348;60;POL;No;V;NA;54,5683333333333;15,6683333333333;54,5416666666667;15,665;Allocated;DK;100
38G5;25047;25;4;3,041874948;60;POL;No;V;NA;54,6283333333333;15,5266666666667;54,5933333333333;15,59;Allocated;DK;100
38G6;25062;25;3;1,632780127;48;POL;No;V;NA;54,9383333333333;16,2433333333333;54,92;16,2083333333333;Allocated;DK;100
38G6;25004;25;2;1,412886364;20;POL;No;V;NA;54,8783333333333;16,6433333333333;54,8833333333333;16,6833333333333;Allocated;PL;100
38G6;25052;25;3;1,566096168;47;POL;No;V;NA;54,64;16,075;54,65;16,1166666666667;Allocated;DE;100
38G6;25014;25;2;1,499341638;27;POL;No;V;NA;54,6933333333333;16,645;54,6866666666667;16,6033333333333;Allocated;PL;100
38G6;25013;25;2;1,251378162;33;POL;No;V;NA;54,65;16,3933333333333;54,6333333333333;16,3716666666667;Allocated;PL;100
38G6;25017;25;2;1,457283964;29;POL;No;V;NA;54,7366666666667;16,8716666666667;54,7266666666667;16,8333333333333;Allocated;PL;100
38G7;25024;25;2;2,114456006;24;POL;No;V;NA;54,85;17,4666666666667;54,8565;17,5268333333333;Allocated;PL;100
38G7;25364;25;2;1,352126359;30;POL;No;V;NA;54,9966666666667;17,4666666666667;54,9833333333333;17,435;Allocated;PL;100
38G8;26167;26;4;1,247563408;63;POL;No;V;NA;54,985;18,505;54,9966666666667;18,475;Mooved to new Layer;PL;100
38G8;26086;26;5;2,295735204;99;POL;No;V;NA;54,975;18,8;54,975;18,8666666666667;assigned manually;PL;100
38G8;26019;26;3;1,873049426;46;POL;No;V;NA;54,8866666666667;18,6333333333333;54,865;18,6716666666667;Allocated;PL;100
38G8;26183;26;2;1,512645819;30;POL;No;V;NA;54,85;18,6133333333333;54,87;18,5866666666667;Allocated;PL;100
38G8;26132;26;4;1,521551309;69;POL;No;V;NA;54,5383333333333;18,91;54,5416666666667;18,9533333333333;Allocated;PL;100
38G8;26169;26;2;1,56168802;32;POL;No;V;NA;54,7716666666667;18,6916666666667;54,795;18,6716666666667;Allocated;PL;100
38G8;26274;26;2;1,441076169;24;POL;No;V;NA;54,8966666666667;18,17;54,8983333333333;18,2116666666667;Allocated;PL;100
38G8;26266;26;2;1,525886473;20;POL;No;V;NA;54,8033333333333;18,5483333333333;54,82;18,515;Allocated;PL;100
38G9;26285;26;5;1,707541256;80;POL;No;V;NA;54,5766666666667;19,3233333333333;54,5716666666667;19,3716666666667;Allocated;PL;100
38G9;26287;26;5;1,377321118;81;POL;No;V;NA;54,6116666666667;19,035;54,5966666666667;19,005;Allocated;PL;100
38G9;26257;26;6;1,838874272;102;POL;No;V;NA;54,925;19,05;54,925;19,1033333333333;Allocated;PL;100
39F9;22151;22;2;NA;33;DEN;NA;V;NA;55,0583333333333;9,55666666666667;55,045;9,52833333333333;Allocated;DK;100
39F9;22152;22;2;NA;20;DEN;NA;V;NA;55,1616666666667;9,625;55,1566666666667;9,58;Allocated;DK;100
39F9;22024;22;2;2,306584935;18;DEN;No;V;NA;55,365;9,75266666666667;55,4016666666667;9,73233333333333;Allocated;DK;100
39F9;22153;22;2;NA;22;DEN;NA;V;NA;55,1616666666667;9,77833333333333;55,1883333333333;9,775;Allocated;DK;100
39G0;22125;22;2;2,494382432;22;DEN;No;V;NA;55,4013333333333;10,8158333333333;NA;NA;Allocated;DK;100
39G0;22020;22;2;2,634058149;18;DEN;No;V;NA;55,2116666666667;10,9383333333333;55,2366666666667;10,9933333333333;Allocated;DK;100
39G0;22130;22;2;2,495740794;22;DEN;No;V;NA;55,3321666666667;10,8976666666667;55,2976666666667;10,9385;Allocated;DK;100
39G1;22103;22;2;2,495294066;37;DEN;No;V;NA;55,0553333333333;11,0303333333333;NA;NA;Allocated;DK;100
39G1;22019;22;2;2,498094604;17;DEN;No;V;NA;55,0573333333333;11,4025;55,0468333333333;11,3321666666667;Allocated;DK;100
39G1;22082;22;2;2,497195923;37;DEN;No;V;NA;55,106;11,325;NA;NA;Allocated;DK;100
39G2;24338;24;2;NA;30;DEN;NA;V;NA;55,1602;12,7399833333333;55,1416666666667;12,77;Allocated;DK;100
39G2;24086;24;2;1,486274493;25;DEN;No;V;NA;54,9871666666667;12,6723333333333;54,9703333333333;12,704;Allocated;DK;100
39G2;23067;23;2;NA;10;DEN;No;V;NA;55,4975833333333;12,4200833333333;55,49505;12,3776166666667;Allocated;DK;100
39G3;24225;24;3;3,559075089;45;SWE;No;V;NA;55,0695;13,6583333333333;55,0591666666667;13,5563333333333;Allocated;DE;100
39G3;24253;24;3;1,741132995;41;SWE;No;V;NA;55,1995;13,3733333333333;55,1705;13,3715;Allocated;DE;100
39G3;24252;24;3;2,810025912;41;SWE;No;V;NA;55,2078333333333;13,1745;55,1933333333333;13,2466666666667;Allocated;DE;100
39G3;24210;24;3;4,824880265;43;SWE;No;V;NA;55,017;13,3066666666667;55,0631666666667;13,2566666666667;Allocated;DE;100
39G3;24301;24;2;1,247592889;36;SWE;No;V;NA;55,056;13,6393333333333;55,054;13,6754666666667;Allocated;DE;100
39G3;24101;24;3;1,661742972;46;SWE;No;V;NA;55,1145;13,8745;55,0978333333333;13,8358333333333;Allocated;DE;100
39G4;25075;25;4;2,167374124;73;DEN;No;V;NA;55,465;14,9716666666667;55,4616666666667;15,035;Allocated;SE;100
39G4;24251;24;3;2,495905793;42;DEN;No;V;NA;55,09;14,5523333333333;55,1315;14,5573333333333;Allocated;DE;100
39G4;25235;25;4;2,499820043;65;DEN;No;V;NA;55,485;14,7716666666667;55,4838333333333;14,6981666666667;Allocated;SE;100
39G4;25502;25;3;2,507187195;56;SWE;No;V;NA;55,4583333333333;14,4683333333333;55,4625;14,5416666666667;Allocated;SE;100
39G4;24287;24;3;2,985098971;43;DEN;No;V;NA;55,0416666666667;14,2233333333333;55;14,1783333333333;Allocated;DE;100
39G4;24245;24;3;1,505953776;44;DEN;No;V;NA;55,0903333333333;14,3091666666667;55,0663333333333;14,2963333333333;Allocated;DE;100
39G4;25387;25;3;2,496846838;53;SWE;No;V;NA;55,409;14,5046666666667;55,38;14,4566666666667;Allocated;SE;100
39G5;25065;25;4;3,314885299;72;DEN;No;V;NA;55,06;15,335;55,1066666666667;15,3866666666667;Allocated;DK;100
39G5;25076;25;4;3,543429135;73;DEN;No;V;NA;55,3516666666667;15,0733333333333;55,3;15,0483333333333;Allocated;DK;100
39G5;25342;25;5;3,324251442;84;DEN;No;V;NA;55,445;15,5416666666667;55,495;15,5816666666667;Allocated;DK;100
39G5;25452;25;5;2,367169206;91;DEN;No;V;NA;55,3733333333333;15,26;55,4016666666667;15,3083333333333;Allocated;DK;100
39G5;25344;25;5;2,360013852;85;DEN;No;V;NA;55,4566666666667;15,9366666666667;55,4916666666667;15,9683333333333;Allocated;DK;100
39G5;25341;25;5;1,574854238;81;DEN;No;V;NA;55,349;15,3711666666667;55,3251666666667;15,3518333333333;Allocated;DK;100
39G5;25221;25;4;2,498618664;63;DEN;No;V;NA;55,2283333333333;15,18;55,2043333333333;15,2033333333333;Allocated;DK;100
39G5;25322;25;5;3,613082471;87;DEN;No;V;NA;55,0516666666667;15,71;55,0166666666667;15,625;Allocated;DK;100
39G5;25330;25;5;3,157266907;90,9;DEN;No;V;NA;55,2616666666667;15,9783333333333;55,22;15,9266666666667;Allocated;DK;100
39G5;25064;25;4;2,498206763;78;DEN;No;V;NA;55,0333333333333;15,25;55,0581666666667;15,1916666666667;Allocated;DK;100
39G9;26091;26;5;2,001675464;90;POL;No;V;NA;55,1166666666667;19,0833333333333;55,1166666666667;19,1416666666667;assigned manually;PL;100
39G9;26045;26;4;2,306009074;70;POL;No;V;NA;55,2783333333333;19,0833333333333;55,25;19,0383333333333;Allocated;PL;100
39H0;26153;26;4;1,528857089;64;LTU;No;V;NA;55,49;20,6466666666667;55,5033333333333;20,6083333333333;assigned manually;LT;100
40G0;22090;22;2;2,253864608;23;DEN;No;V;NA;55,705;10,4633333333333;NA;NA;Allocated;DK;100
40G0;22029;22;2;2,105211541;18;DEN;No;V;NA;55,6516666666667;10,6616666666667;55,6233333333333;10,6983333333333;Allocated;DK;100
40G0;22031;22;2;2,403787565;14;DEN;No;V;NA;55,765;10,055;55,7833333333333;10,1183333333333;Allocated;DK;100
40G0;22091;22;2;2,49852527;21;DEN;No;V;NA;55,722;10,6366666666667;55,7175;10,5631666666667;Allocated;DK;100
40G0;22100;22;3;2,057291222;45;DEN;No;V;NA;55,715;10,7866666666667;NA;NA;Allocated;DK;100
40G0;22030;22;2;2,501233583;18;DEN;No;V;NA;55,7056666666667;10,272;55,6995;10,1988333333333;Allocated;DK;100
40G0;22032;22;2;2,324290986;18;DEN;No;V;NA;55,7783333333333;10,68;55,8016666666667;10,735;Allocated;DK;100
40G0;22035;22;2;2,202461055;20;DEN;No;V;NA;55,9833333333333;10,88;55,9783333333333;10,945;Mooved to new Layer;DK;100
40G0;22092;22;2;2,381611185;38;DEN;No;V;NA;55,83;10,82;55,7916666666667;10,8383333333333;Allocated;DK;100
40G0;22033;22;2;2,3;19;DEN;No;V;NA;55,9416666666667;10,48;55,9033333333333;10,48;Allocated;DK;100
40G0;22027;22;2;2,310272905;17;DEN;No;V;NA;55,635;10,0066666666667;55,6533333333333;10,0666666666667;Allocated;DK;100
40G0;22034;22;2;2,293086292;14;DEN;No;V;NA;55,9933333333333;10,64;55,9933333333333;10,7083333333333;Allocated;DK;100
40G1;22037;22;2;2,201736096;19;DEN;No;V;NA;55,9816666666667;11,03;55,9533333333333;11,0716666666667;Allocated;DK;100
40G2;23053;23;2;NA;10;DEN;No;V;NA;55,74265;12,7120833333333;55,7588333333333;12,71975;Allocated;DK;100
40G2;23020;23;2;NA;16;DEN;No;V;NA;55,965;12,6431666666667;55,9465;12,6355;Allocated;DK;100
40G4;25421;25;3;1,486225731;48;SWE;No;V;NA;55,6866666666667;14,455;55,67;14,4875;Allocated;SE;100
40G4;25443;25;4;2,976972266;79;SWE;No;V;NA;55,6121666666667;14,7556666666667;55,6128333333333;14,8435;Allocated;SE;100
40G4;25442;25;4;2,758813407;74;DEN;No;V;NA;55,5166666666667;14,9333333333333;55,54;14,8633333333333;Allocated;SE;100
40G4;25444;25;4;1,508607948;65;SWE;No;V;NA;55,6403333333333;14,8826666666667;55,6448333333333;14,9265;Allocated;SE;100
40G4;25401;25;2;1,517157087;39;SWE;No;V;NA;55,7025;14,3701666666667;55,7083333333333;14,4138333333333;Allocated;SE;100
40G4;25425;25;3;2,098629151;55;SWE;No;V;NA;55,7091666666667;14,85;55,6833333333333;14,8916666666667;Allocated;SE;100
40G5;25399;25;3;2,502919273;51;SWE;No;V;NA;55,8798333333333;15,7146666666667;55,8735;15,7881666666667;Allocated;SE;100
40G5;25124;25;3;1,631297409;57;SWE;No;V;NA;55,77;15,2516666666667;55,77;15,3;Allocated;SE;100
40G5;25507;25;4;1,580226608;66;SWE;No;V;NA;55,65475;15,7849833333333;55,6803666666667;15,7944333333333;Allocated;SE;100
40G5;25140;25;3;2,005668778;47;SWE;No;V;NA;55,8566666666667;15,575;55,83;15,5416666666667;Allocated;SE;100
40G5;25427;25;3;1,993916956;55;SWE;No;V;NA;55,8075;15,8385;55,7983333333333;15,7816666666667;Allocated;SE;100
40G5;25272;25;4;1,476286931;69;DEN;No;V;NA;55,665;15,2233333333333;55,6633333333333;15,2666666666667;Allocated;SE;100
40G5;25429;25;3;1,683440263;46;SWE;No;V;NA;55,9651666666667;15,41;55,9375;15,4016666666667;Allocated;SE;100
40G5;25445;25;4;2,548367789;74;DEN;No;V;NA;55,5943333333333;15,2188333333333;55,6;15,2933333333333;Allocated;SE;100
40G5;25292;25;3;2,499483945;55;SWE;No;V;NA;55,76475;15,3964666666667;55,7647833333333;NA;Allocated;SE;100
40G5;25270;25;4;3,723683463;66;DEN;No;V;NA;55,655;15,1033333333333;55,65;14,995;Allocated;SE;100
40G5;25447;25;5;3,315809637;80;DEN;No;V;NA;55,5778333333333;15,0633333333333;55,5763333333333;14,9656666666667;Allocated;SE;100
40G5;25280;25;4;1,721888917;76;SWE;No;V;NA;55,6233333333333;15,86;55,61;15,905;Allocated;SE;100
40G5;25277;25;4;3,003229491;75;DEN;No;V;NA;55,5733333333333;15,58;55,5233333333333;15,5833333333333;assigned manually;DK;100
40G5;25446;25;4;3,102451143;78;DEN;No;V;NA;55,5446666666667;15,256;55,5243333333333;15,172;assigned manually;SE;100
40G5;25100;25;5;3,293039535;86;DEN;No;V;NA;55,6366666666667;15,1033333333333;55,625;15,0083333333333;Allocated;SE;100
40G5;25392;25;4;2,499959212;61;SWE;No;V;NA;55,7516666666667;15,3791666666667;55,7660333333333;15,4422333333333;Allocated;SE;100
40G7;25308;25;4;3,024437045;65;POL;No;V;NA;55,735;17,9283333333333;55,7533333333333;18,005;Allocated;DK;100
40G7;25107;25;3;1,960788082;40;POL;No;V;NA;55,5533333333333;17,6;55,54;17,55;Allocated;DK;100
40G7;25136;25;3;3,001786035;59;SWE;No;V;NA;55,7766666666667;17,7;55,8233333333333;17,6683333333333;Allocated;DK;100
40G8;26055;26;4;1,686250129;70;POL;No;V;NA;55,8;18,1333333333333;55,8;18,1833333333333;Allocated;PL;100
40G8;26138;26;6;2,326727342;110;POL;No;V;NA;55,88;18,8166666666667;55,855;18,7666666666667;Allocated;PL;100
40G8;26286;26;5;0,835824385;97;POL;No;V;NA;55,6266666666667;18,5366666666667;55,6333333333333;18,5583333333333;assigned manually;PL;100
40G8;26050;26;4;3,244393434;65,2;POL;No;V;NA;55,6383333333333;18,06;55,5916666666667;18,1083333333333;Allocated;PL;100
40G8;26221;26;6;4,614266473;111;SWE;No;V;NA;55,92;18,5868333333333;55,9175;18,4496666666667;assigned manually;PL;100
40G9;26060;26;4;1,63107507;73;LAT;No;V;NA;55,9866666666667;19,3216666666667;55,9883333333333;19,37;assigned manually;PL;100
40G9;26122;26;5;1,625582372;81;LAT;No;V;NA;56,0016666666667;19,2983333333333;55,9916666666667;19,2533333333333;Allocated;PL;100
40G9;26191;26;5;2,138676344;91;POL;No;V;NA;54,6783333333333;19,2966666666667;54,6433333333333;19,3083333333333;Allocated;PL;100
40G9;26090;26;5;1,759023482;92;POL;No;V;NA;54,705;19,0366666666667;54,71;19,0866666666667;Allocated;PL;100
40H0;26206;26;3;1,606572635;55,5;LTU;No;V;NA;55,7633333333333;20,3333333333333;55,7366666666667;20,3333333333333;Allocated;LT;100
40H0;26026;26;4;2,021057684;63;LTU;No;V;NA;55,7833333333333;20,2066666666667;55,785;20,265;Allocated;LT;100
40H0;26028;26;3;1,788397802;50;LTU;No;V;NA;55,7016666666667;20,6266666666667;55,6916666666667;20,675;Allocated;LT;100
40H0;26134;26;2;1,593807411;36;LTU;No;V;NA;55,9513333333333;20,4768333333333;55,9433333333333;20,4316666666667;Allocated;LT;100
40H0;26158;26;4;1,531792275;61;LTU;No;V;NA;55,8616666666667;20,1033333333333;55,88;20,0716666666667;Allocated;LT;100
41G2;23061;23;2;NA;25;DEN;No;V;NA;56,1339166666667;12,4120333333333;56,1238666666667;12,45205;Allocated;DK;100
41G2;23010;23;2;NA;23,5;NA;No;V;NA;56,2333333333333;12,4175;56,2;12,4333333333333;Allocated;DK;100
41G6;25314;25;4;2,118181128;70;SWE;No;V;NA;56,35;16,9666666666667;56,385;16,9583333333333;Allocated;SE;100
41G6;25169;25;4;2;61;SWE;No;V;NA;56,45;16,7666666666667;56,4166666666667;16,7666666666667;Mooved to new Layer;SE;100
41G6;25315;25;4;1,918218077;70;SWE;No;V;NA;56,4466666666667;16,975;56,4766666666667;16,955;Allocated;SE;100
41G7;25461;25;3;2,502142001;40;SWE;No;V;NA;56,0675;17,3645;56,0905;17,4268333333333;Allocated;PL;100
41G7;25167;25;3;3,907240655;46;SWE;No;V;NA;56,2666666666667;17,95;56,2333333333333;17,8666666666667;Allocated;PL;100
41G7;25038;25;3;2,501632741;51;SWE;No;V;NA;56,15;17,75;56,1416666666667;17,6766666666667;Allocated;PL;100
41G8;26224;26;2;3,155719115;35;SWE;No;V;NA;56,3668333333333;18,4466666666667;56,4115;18,4968333333333;Allocated;PL;100
41G8;26069;26;4;2,868595872;72;SWE;No;V;NA;56,2183333333333;18,42;56,2516666666667;18,4816666666667;assigned manually;PL;100
41G8;26124;26;5;3,440799039;83;SWE;No;V;NA;56,2833333333333;18,5333333333333;56,3333333333333;18,5833333333333;Allocated;PL;100
41G8;26225;26;3;3,115610148;41;SWE;No;V;NA;56,3133333333333;18,3881666666667;56,3525;18,4496666666667;Allocated;PL;100
41G8;26140;26;6;2,951523093;123;SWE;No;V;NA;56,0066666666667;18,9016666666667;56,05;18,9433333333333;assigned manually;PL;100
41G8;26182;26;4;1,940394108;67;POL;No;V;NA;55,0466666666667;18,3116666666667;55,0316666666667;18,3616666666667;Allocated;PL;100
41G8;26074;26;4;2,615568019;73;SWE;No;V;NA;56,3833333333333;18,5833333333333;56,4166666666667;18,6333333333333;Allocated;PL;100
41G8;26141;26;4;3,09709799;78;SWE;No;V;NA;56,3;18,5366666666667;56,315;18,7033333333333;Allocated;PL;100
41G9;26067;26;4;1,789048736;63;LAT;No;V;NA;56,125;19,57;56,1516666666667;19,5933333333333;Mooved to new Layer;PL;100
41G9;26073;26;4;3,212629325;72;LAT;No;V;NA;56,25;19,65;56,2666666666667;19,7333333333333;Allocated;PL;100
41G9;26030;26;3;3,155034376;57;LAT;No;V;NA;56,13;19,85;56,175;19,8983333333333;Allocated;LV;100
41G9;26199;26;6;1,505739549;113,5;LAT;No;V;NA;56,38;19,7066666666667;56,4033333333333;19,7233333333333;Allocated;LV;100
41G9;26145;26;6;2,841279898;108;LAT;No;V;NA;56,465;19,8283333333333;56,4233333333333;19,7883333333333;assigned manually;LV;100
41G9;26144;26;6;3,545088189;134;LAT;No;V;NA;56,3666666666667;19,4833333333333;56,3833333333333;19,5833333333333;Allocated;LV;100
41G9;26031;26;4;2,810878467;61;LAT;No;V;NA;56,1916666666667;19,9133333333333;56,2266666666667;19,8933333333333;Allocated;LV;100
41G9;26064;26;4;1,696153171;70;LTU;No;V;NA;56,025;19,435;56,0483333333333;19,4633333333333;Allocated;PL;100
41H0;26078;26;4;3,790110537;79;LAT;No;V;NA;56,35;20,0333333333333;56,4;20,1;assigned manually;PL;100
41H0;26260;26;5;1,82729101;82;LAT;No;V;NA;56,4333333333333;20,0833333333333;56,435;20,0283333333333;Allocated;PL;100
42G6;27022;27;4;1,742860122;67;SWE;No;V;NA;56,7033333333333;16,985;56,7316666666667;16,9966666666667;Allocated;SE;100
42H0;28033;28;4;2,767208697;73;LAT;No;V;NA;56,59;20,375;56,63;20,4166666666667;Allocated;LV;100
42H0;28167;28;3;5,192737158;50;LAT;No;V;NA;56,6283333333333;20,5816666666667;56,6018333333333;20,6506666666667;Allocated;LV;100
42H0;28094;28;5;1,670561622;85,75;LAT;No;V;NA;56,94;20,3833333333333;56,9616666666667;20,415;Allocated;LV;100
42H0;28157;28;2;1,604700988;39;LAT;No;V;NA;56,6563333333333;20,7653333333333;56,6803333333333;20,7798333333333;Allocated;LV;100
43G7;27003;27;3;2,562779259;54;SWE;No;V;NA;57,4133333333333;17,025;57,4516666666667;16,99;Allocated;SE;100
43G7;27009;27;4;2,041991329;79;SWE;No;V;NA;57,0666666666667;17,9;57,1003333333333;17,9091666666667;Allocated;SE;100
43G7;27030;27;4;4,106329494;76;SWE;No;V;NA;57,2276666666667;17,3871666666667;57,294;17,4151666666667;Allocated;SE;100
43G7;27007;27;4;1,575471922;78;SWE;No;V;NA;56,9891666666667;17,9438333333333;57,0146666666667;17,9553333333333;Allocated;SE;100
43G7;27031;27;3;NA;53;SWE;No;V;NA;57,0210833333333;17,1327666666667;57,0455;17,145;Allocated;SE;100
43G7;27025;27;4;1,735843235;74;SWE;No;V;NA;57,4483333333333;17,105;57,4716666666667;17,075;Allocated;SE;100
43G8;28180;28;3;2,601802187;54;SWE;No;V;NA;57,2526666666667;18,9258333333333;57,2885;18,971;Allocated;SE;100
43G8;28179;28;3;1,789033802;43;SWE;No;V;NA;57,215;18,8533333333333;57,19;18,8233333333333;Allocated;SE;100
43G8;28037;28;4;3,816031689;69;SWE;No;V;NA;57,0416666666667;18,8283333333333;56,9816666666667;18,79;Allocated;SE;100
43H0;28017;28;3;2,539167993;53;LAT;No;V;NA;57,225;20,7466666666667;57,1833333333333;20,76;Allocated;LV;100
