;X;NrHaul;RectangleAlpha;ICES.SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Layer;EEZ;Latitude1_deg_dec;Longitude1_deg_dec;codstock;country
37;37;24046;38G4;24;54;40.2;14;30.7;2;DEN;54.67;14.51166667;21-24;GFR (SD 21-24)
38;38;24047;38G4;24;54;35.4;14;27.96;2;GFR;54.59;14.466;21-24;GFR (SD 21-24)
39;39;24055;38G4;24;54;34.16;14;43.13;2;grey;54.56933333;14.71883333;21-24;DEN (SD 25-32)
40;40;24059;38G2;24;54;46.77;12;21.78;2;DEN;54.7795;12.363;21-24;GFR (SD 21-24)
41;41;24063;38G3;24;54;42.6;13;9;2;GFR;54.71;13.15;21-24;GFR (SD 21-24)
42;42;24089;38G2;24;54;54.1254;12;54;3;DEN;54.90209;12.9;21-24;GFR (SD 21-24)
43;43;24094;39G2;24;55;5;12;47;2;DEN;55.08333333;12.78333333;21-24;GFR (SD 21-24)
44;44;24142;39G4;24;55;16.4;14;5;2;SWE;55.27333333;14.08333333;21-24;GFR (SD 21-24)
45;45;24153;38G3;24;54;45.22;13;31.23;3;GFR;54.75366667;13.5205;21-24;GFR (SD 21-24)
46;46;24169;38G2;24;54;54.8;12;58.5;2;DEN;54.91333333;12.975;21-24;GFR (SD 21-24)
47;47;24173;38G3;24;54;52.58;13;13.14;3;GFR;54.87633333;13.219;21-24;GFR (SD 21-24)
48;48;24192;38G3;24;54;51.9;13;50.1;3;GFR;54.865;13.835;21-24;GFR (SD 21-24)
49;49;24205;38G4;24;54;53.93;14;5.8;3;DEN;54.89883333;14.09666667;21-24;GFR (SD 21-24)
50;50;24211;39G3;24;55;3.89;13;16.5;3;SWE;55.06483333;13.275;21-24;GFR (SD 21-24)
51;51;24212;38G3;24;55;0.11;13;23.42;3;GFR;55.00183333;13.39033333;21-24;GFR (SD 21-24)
52;52;24267;39G3;24;55;15.4;13;59.9;2;SWE;55.25666667;13.99833333;21-24;GFR (SD 21-24)
53;53;24280;38G2;24;54;41.32;12;11.83;2;DEN;54.68866667;12.19716667;21-24;GFR (SD 21-24)
54;54;24286;38G4;24;54;41.56;14;39.445;3;DEN;54.69266667;14.65741667;21-24;GFR (SD 21-24)
55;55;24300;38G4;24;54;51.74;14;47.68;2;DEN;54.86233333;14.79466667;21-24;GFR (SD 21-24)
56;56;24301;39G3;24;55;3.36;13;38.36;2;SWE;55.056;13.63933333;21-24;GFR (SD 21-24)
57;57;24309;38G3;24;54;52.3756;13;34.2694;3;GFR;54.87292667;13.57115667;21-24;GFR (SD 21-24)
58;58;24311;38G4;24;55;0.88;14;16.4;3;DEN;55.01466667;14.27333333;21-24;GFR (SD 21-24)
59;59;24317;39G4;24;55;9.471;14;16.2058;3;DEN;55.15785;14.27009667;21-24;GFR (SD 21-24)
60;60;24325;38G2;24;54;36.4;12;36.15;2;GFR;54.60666667;12.6025;21-24;GFR (SD 21-24)
61;61;24328;38G2;24;54;38.39;12;41.08;2;GFR;54.63983333;12.68466667;21-24;GFR (SD 21-24)
62;62;24334;37G4;24;54;22;14;18.1;2;GFR;54.36666667;14.30166667;21-24;GFR (SD 21-24)
63;63;24335;37G4;24;54;11.5;14;18.6;2;GFR;54.19166667;14.31;21-24;GFR (SD 21-24)
64;64;25004;38G6;25;54;52.7;16;38.6;2;POL;54.87833333;16.64333333;25-32;POL (SD 25-32)
65;65;25006;37G5;25;54;26;15;8.8;2;POL;54.43333333;15.14666667;25-32;POL (SD 25-32)
66;66;25008;37G5;25;54;23;15;34;2;POL;54.38333333;15.56666667;25-32;POL (SD 25-32)
67;67;25009;37G5;25;54;22.9;15;47.3;2;POL;54.38166667;15.78833333;25-32;POL (SD 25-32)
68;68;25010;37G6;25;54;26.8;16;5.3;2;POL;54.44666667;16.08833333;25-32;POL (SD 25-32)
69;69;25011;37G6;25;54;24.7;16;3;2;POL;54.41166667;16.05;25-32;POL (SD 25-32)
70;70;25013;38G6;25;54;39;16;23.6;2;POL;54.65;16.39333333;25-32;POL (SD 25-32)
71;71;25014;38G6;25;54;41.6;16;38.7;2;POL;54.69333333;16.645;25-32;POL (SD 25-32)
72;72;25016;38G6;25;54;44.6;16;49;2;POL;54.74333333;16.81666667;25-32;POL (SD 25-32)
73;73;25017;38G6;25;54;44.2;16;52.3;2;POL;54.73666667;16.87166667;25-32;POL (SD 25-32)
74;74;25022;38G7;25;54;57.4;17;25;2;POL;54.95666667;17.41666667;25-32;POL (SD 25-32)
75;75;25024;38G7;25;54;51;17;28;2;POL;54.85;17.46666667;25-32;POL (SD 25-32)
76;76;25030;39G7;25;55;29.3;17;27.8;3;POL;55.48833333;17.46333333;25-32;POL (SD 25-32)
77;77;25038;41G7;25;56;9;17;45;3;SWE;56.15;17.75;25-32;DEN (SD 25-32)
78;78;25039;37G5;25;54;27.5;15;36.3;3;POL;54.45833333;15.605;25-32;POL (SD 25-32)
79;79;25042;38G5;25;54;32;16;0;3;POL;54.53333333;16;25-32;POL (SD 25-32)
80;80;25046;38G5;25;54;33.4;15;26.4;3;POL;54.55666667;15.44;25-32;POL (SD 25-32)
81;81;25048;38G5;25;54;34.1;15;40.1;4;POL;54.56833333;15.66833333;25-32;POL (SD 25-32)
82;82;25051;38G5;25;54;38.7;15;54.8;3;POL;54.645;15.91333333;25-32;POL (SD 25-32)
83;83;25052;38G6;25;54;38.4;16;4.5;3;POL;54.64;16.075;25-32;POL (SD 25-32)
84;84;25056;38G5;25;54;44.7;15;57;3;POL;54.745;15.95;25-32;POL (SD 25-32)
85;85;25060;38G5;25;54;50.3;16;3.1;3;POL;54.83833333;16.05166667;25-32;POL (SD 25-32)
86;86;25061;38G6;25;54;49.5;16;2.1;3;POL;54.825;16.035;25-32;POL (SD 25-32)
87;87;25062;38G6;25;54;56.3;16;14.6;3;POL;54.93833333;16.24333333;25-32;POL (SD 25-32)
88;88;25066;39G6;25;55;0;16;17;3;POL;55;16.28333333;25-32;POL (SD 25-32)
89;89;25067;39G6;25;55;2.6;16;24;3;POL;55.04333333;16.4;25-32;POL (SD 25-32)
90;90;25080;39G6;25;55;24.3;16;44.9;3;POL;55.405;16.74833333;25-32;POL (SD 25-32)
91;91;25089;39G7;25;55;23.4;17;45;4;POL;55.39;17.75;25-32;POL (SD 25-32)
92;92;25100;40G5;25;55;38.2;15;6.2;5;DEN;55.63666667;15.10333333;25-32;DEN (SD 25-32)
93;93;25134;40G6;25;55;47.3;16;42;3;SWE;55.78833333;16.7;25-32;DEN (SD 25-32)
94;94;25136;40G7;25;55;46.6;17;42;3;SWE;55.77666667;17.7;25-32;DEN (SD 25-32)
95;95;25145;40G6;25;55;50.1;16;12.3;3;SWE;55.835;16.205;25-32;DEN (SD 25-32)
96;96;25177;38G5;25;54;46.3;15;17.3;4;grey;54.77166667;15.28833333;25-32;DEN (SD 25-32)
97;97;25192;38G5;25;54;50;15;36;5;grey;54.83333333;15.6;25-32;DEN (SD 25-32)
98;98;25193;38G5;25;54;51;15;41.4;4;grey;54.85;15.69;25-32;DEN (SD 25-32)
99;99;25205;39G5;25;55;5.6;15;33.1;4;grey;55.09333333;15.55166667;25-32;DEN (SD 25-32)
100;100;25219;39G5;25;55;19.3;15;2.4;4;DEN;55.32166667;15.04;25-32;DEN (SD 25-32)
101;101;25229;39G6;25;55;16.7;16;52.3;4;POL;55.27833333;16.87166667;25-32;POL (SD 25-32)
102;102;25231;39G7;25;55;19.3;17;17.4;4;POL;55.32166667;17.29;25-32;POL (SD 25-32)
103;103;25235;39G4;25;55;29.1;14;46.3;4;DEN;55.485;14.77166667;25-32;DEN (SD 25-32)
104;104;25241;39G5;25;55;20.9;15;22.3;4;DEN;55.34833333;15.37166667;25-32;DEN (SD 25-32)
105;105;25250;39G7;25;55;24;17;30.3;4;POL;55.4;17.505;25-32;POL (SD 25-32)
106;106;25274;40G5;25;55;32.39;15;33.49;4;DEN;55.53983333;15.55816667;25-32;DEN (SD 25-32)
107;107;25283;40G6;25;55;35.3;16;11.5;4;SWE;55.58833333;16.19166667;25-32;DEN (SD 25-32)
108;108;25290;40G7;25;55;30;17;53.8;4;POL;55.5;17.89666667;25-32;DEN (SD 25-32)
109;109;25292;40G4;25;55;41.6;14;50.5;3;SWE;55.69333333;14.84166667;25-32;SWE (SD 25-32)
110;110;25299;40G5;25;55;47;15;56;4;SWE;55.78333333;15.93333333;25-32;SWE (SD 25-32)
111;111;25302;40G6;25;55;42.4;16;10.8;4;SWE;55.70666667;16.18;25-32;DEN (SD 25-32)
112;112;25308;40G7;25;55;44.1;17;55.7;4;POL;55.735;17.92833333;25-32;DEN (SD 25-32)
113;113;25322;39G5;25;55;3.1;15;42.6;5;grey;55.05166667;15.71;25-32;DEN (SD 25-32)
114;114;25326;39G6;25;55;8.1;16;3.6;5;grey;55.135;16.06;25-32;DEN (SD 25-32)
115;115;25330;39G5;25;55;15.7;15;58.7;3;DEN;55.26166667;15.97833333;25-32;DEN (SD 25-32)
116;116;25331;39G6;25;55;16.1;16;3.9;5;DEN;55.26833333;16.065;25-32;DEN (SD 25-32)
117;117;25339;39G7;25;55;15.5;17;25.5;5;POL;55.25833333;17.425;25-32;POL (SD 25-32)
118;118;25342;39G5;25;55;26.7;15;32.5;5;DEN;55.445;15.54166667;25-32;DEN (SD 25-32)
119;119;25344;39G5;25;55;27.4;15;56.2;5;DEN;55.45666667;15.93666667;25-32;DEN (SD 25-32)
120;120;25359;40G6;25;55;48.5;16;31.9;3;SWE;55.80833333;16.53166667;25-32;DEN (SD 25-32)
121;121;25364;38G7;25;54;59.8;17;28;2;POL;54.99666667;17.46666667;25-32;POL (SD 25-32)
122;122;25380;40G7;25;55;38.5;17;37.8;3;POL;55.64166667;17.63;25-32;DEN (SD 25-32)
123;123;25389;40G6;25;55;35.41;16;39.65;3;SWE;55.59016667;16.66083333;25-32;DEN (SD 25-32)
124;124;25394;38G5;25;54;39.4;15;9.08;4;grey;54.65666667;15.15133333;25-32;DEN (SD 25-32)
125;125;25399;40G5;25;55;52.79;15;42.88;3;SWE;55.87983333;15.71466667;25-32;SWE (SD 25-32)
126;126;25401;40G4;25;55;42.15;14;22.21;2;SWE;55.7025;14.37016667;25-32;SWE (SD 25-32)
127;127;25404;40G5;25;55;49.6;15;26.4;3;SWE;55.82666667;15.44;25-32;SWE (SD 25-32)
128;128;25409;40G5;25;55;47.9;15;57.8;3;SWE;55.79833333;15.96333333;25-32;SWE (SD 25-32)
129;129;25418;40G4;25;55;42.4;14;22.5;2;SWE;55.70666667;14.375;25-32;SWE (SD 25-32)
130;130;25419;40G4;25;55;41.5;14;22.35;2;SWE;55.69166667;14.3725;25-32;SWE (SD 25-32)
131;131;25426;40G5;25;55;49.1;15;15.6;3;SWE;55.81833333;15.26;25-32;SWE (SD 25-32)
132;132;25432;40G6;25;55;50.2;16;23.2;3;SWE;55.83666667;16.38666667;25-32;DEN (SD 25-32)
133;133;25439;40G4;25;55;35.9;14;33.6;4;SWE;55.59833333;14.56;25-32;SWE (SD 25-32)
134;134;25445;40G5;25;55;35.66;15;13.13;4;DEN;55.59433333;15.21883333;25-32;DEN (SD 25-32)
135;135;25447;40G5;25;55;34.67;15;3.8;5;DEN;55.57783333;15.06333333;25-32;DEN (SD 25-32)
136;136;25449;40G4;25;55;27.6;14;43.8;4;DEN;55.46;14.73;25-32;DEN (SD 25-32)
137;137;25451;39G6;25;55;17.2;16;1.2;5;DEN;55.28666667;16.02;25-32;DEN (SD 25-32)
138;138;25452;39G5;25;55;22.4;15;15.6;5;DEN;55.37333333;15.26;25-32;DEN (SD 25-32)
139;139;25455;39G7;25;55;27.4;17;17;2;POL;55.45666667;17.28333333;25-32;POL (SD 25-32)
140;140;25500;39G4;25;55;28.42;14;39.32;4;SWE;55.47366667;14.65533333;25-32;SWE (SD 25-32)
141;141;25502;39G4;25;55;27.5;14;28.1;3;SWE;55.45833333;14.46833333;25-32;SWE (SD 25-32)
142;142;25503;38G6;25;55;9.7;16;3.4;5;grey;55.16166667;16.05666667;25-32;DEN (SD 25-32)
143;143;25504;41G7;25;56;4.648;17;46.153;4;SWE;56.07746667;17.76921667;25-32;DEN (SD 25-32)
144;144;25506;39G5;25;55;28.074;15;57.014;5;DEN;55.4679;15.95023333;25-32;DEN (SD 25-32)
145;145;25508;39G6;25;55;18.02;16;1.13;5;DEN;55.30033333;16.01883333;25-32;DEN (SD 25-32)
146;146;25509;40G6;25;55;43.78;16;41;4;SWE;55.72966667;16.68333333;25-32;DEN (SD 25-32)
147;147;26011;41H0;26;56;5.4;20;32.8;2;LAT;56.09;20.54666667;25-32;LAT (SD 25-32)
148;148;26014;38G9;26;54;26.1;19;3.9;3;POL;54.435;19.065;25-32;POL (SD 25-32)
149;149;26022;39H0;26;55;5.9;20;4.3;3;RUS;55.09833333;20.07166667;25-32;RUS (SD 25-32)
150;150;26024;39H0;26;55;10.4;20;0;4;RUS;55.17333333;20;25-32;RUS (SD 25-32)
151;151;26025;39H0;26;55;12.4;20;9.8;3;RUS;55.20666667;20.16333333;25-32;RUS (SD 25-32)
152;152;26027;40H0;26;55;47.4;20;23.2;3;LTU;55.79;20.38666667;25-32;LTU (SD 25-32)
153;153;26030;41G9;26;56;7.8;19;51;3;LAT;56.13;19.85;25-32;LAT (SD 25-32)
154;154;26032;41G8;26;56;22;18;30.8;3;SWE;56.36666667;18.51333333;25-32;DEN (SD 25-32)
155;155;26036;38G9;26;54;49.3;19;38.9;4;RUS;54.82166667;19.64833333;25-32;RUS (SD 25-32)
156;156;26039;39G9;26;55;0.6;19;40.4;4;RUS;55.01;19.67333333;25-32;RUS (SD 25-32)
157;157;26048;39H0;26;55;28.4;20;3.4;4;RUS;55.47333333;20.05666667;25-32;RUS (SD 25-32)
158;158;26050;40G8;26;55;38.3;18;3.6;4;POL;55.63833333;18.06;25-32;POL (SD 25-32)
159;159;26052;40H0;26;55;30.4;20;36.6;4;LTU;55.50666667;20.61;25-32;LTU (SD 25-32)
160;160;26055;40G8;26;55;48;18;8;4;POL;55.8;18.13333333;25-32;POL (SD 25-32)
161;161;26073;41G9;26;56;15;19;39;4;LAT;56.25;19.65;25-32;LAT (SD 25-32)
162;162;26084;38G9;26;54;40.8;19;29;5;RUS;54.68;19.48333333;25-32;RUS (SD 25-32)
163;163;26087;38G8;26;54;53;18;54;5;POL;54.88333333;18.9;25-32;POL (SD 25-32)
164;164;26089;38G9;26;54;56.9;19;34.3;5;RUS;54.94833333;19.57166667;25-32;RUS (SD 25-32)
165;165;26096;39G9;26;55;10.5;19;26.3;5;RUS;55.175;19.43833333;25-32;RUS (SD 25-32)
166;166;26097;39G9;26;55;21.4;19;55.6;4;RUS;55.35666667;19.92666667;25-32;RUS (SD 25-32)
167;167;26106;39G8;26;55;26.5;18;55.5;5;POL;55.44166667;18.925;25-32;POL (SD 25-32)
168;168;26109;39G9;26;55;22.2;19;29.8;5;RUS;55.37;19.49666667;25-32;RUS (SD 25-32)
169;169;26111;40G9;26;55;35;19;2.5;5;RUS;55.58333333;19.04166667;25-32;RUS (SD 25-32)
170;170;26130;39G9;26;54;48.1;19;21.9;6;RUS;54.80166667;19.365;25-32;RUS (SD 25-32)
171;171;26134;40H0;26;55;57.08;20;28.61;2;LTU;55.95133333;20.47683333;25-32;LTU (SD 25-32)
172;172;26138;40G8;26;55;52.8;18;49;6;POL;55.88;18.81666667;25-32;POL (SD 25-32)
173;173;26141;41G8;26;56;19;18;40;6;SWE;56.31666667;18.66666667;25-32;DEN (SD 25-32)
174;174;26144;41G9;26;56;22;19;29;6;LAT;56.36666667;19.48333333;25-32;LAT (SD 25-32)
175;175;26147;39G9;26;55;2;19;29;5;RUS;55.03333333;19.48333333;25-32;RUS (SD 25-32)
176;176;26150;39H0;26;55;3.5;20;33.5;2;RUS;55.05833333;20.55833333;25-32;RUS (SD 25-32)
177;177;26156;40G9;26;55;35.5;19;50.7;5;RUS;55.59166667;19.845;25-32;RUS (SD 25-32)
178;178;26158;40H0;26;55;51.7;20;6.2;4;LTU;55.86166667;20.10333333;25-32;LTU (SD 25-32)
179;179;26160;41H0;26;56;28.2;20;6.4;5;LAT;56.47;20.10666667;25-32;LAT (SD 25-32)
180;180;26166;39G8;26;55;22.3;18;25.6;5;POL;55.37166667;18.42666667;25-32;POL (SD 25-32)
181;181;26169;38G8;26;54;46.3;18;41.5;2;POL;54.77166667;18.69166667;25-32;POL (SD 25-32)
182;182;26182;39G8;26;55;2.8;18;18.7;4;POL;55.04666667;18.31166667;25-32;POL (SD 25-32)
183;183;26199;41G9;26;56;22.8;19;42.4;6;LAT;56.38;19.70666667;25-32;LAT (SD 25-32)
184;184;26209;41G9;26;56;18;19;31.5;6;LAT;56.3;19.525;25-32;LAT (SD 25-32)
185;185;26221;40G8;26;55;55.2;18;35.21;6;SWE;55.92;18.58683333;25-32;SWE (SD 25-32)
186;186;26224;41G8;26;56;22.01;18;26.8;2;SWE;56.36683333;18.44666667;25-32;DEN (SD 25-32)
187;187;26225;41G8;26;56;18.8;18;23.29;3;SWE;56.31333333;18.38816667;25-32;DEN (SD 25-32)
188;188;26263;37G8;26;54;23.7;18;59.5;2;POL;54.395;18.99166667;25-32;POL (SD 25-32)
189;189;26266;38G8;26;54;48.2;18;32.9;2;POL;54.80333333;18.54833333;25-32;POL (SD 25-32)
190;190;26267;38G8;26;54;54.6;18;36.1;3;POL;54.91;18.60166667;25-32;POL (SD 25-32)
191;191;26269;38G9;26;54;36.7;19;9.2;5;POL;54.61166667;19.15333333;25-32;POL (SD 25-32)
192;192;26273;39G8;26;55;7.9;18;43.4;5;POL;55.13166667;18.72333333;25-32;POL (SD 25-32)
193;193;26274;38G8;26;54;53.8;18;10.2;2;POL;54.89666667;18.17;25-32;POL (SD 25-32)
194;194;26275;41G8;26;56;0.4;18;8.8;3;SWE;56.00666667;18.14666667;25-32;DEN (SD 25-32)
195;195;26280;37G8;26;54;29.6;18;53.4;4;POL;54.49333333;18.89;25-32;POL (SD 25-32)
196;196;26286;40G8;26;55;37.6;18;32.2;5;POL;55.62666667;18.53666667;25-32;POL (SD 25-32)
197;197;26291;38G9;26;54;49.8;19;20.4;6;RUS;54.83;19.34;25-32;RUS (SD 25-32)
198;198;27001;43G6;27;57;23.06;16;53.08;3;SWE;57.38433333;16.88466667;25-32;SWE (SD 25-32)
199;199;27003;43G7;27;57;24.8;17;1.5;3;SWE;57.41333333;17.025;25-32;SWE (SD 25-32)
200;200;27004;42G6;27;56;31.6;16;55;4;SWE;56.52666667;16.91666667;25-32;SWE (SD 25-32)
201;201;27011;43G7;27;57;27.5;17;32.8;4;SWE;57.45833333;17.54666667;25-32;SWE (SD 25-32)
202;202;27013;43G7;27;57;2.4;17;52.4;5;SWE;57.04;17.87333333;25-32;SWE (SD 25-32)
203;203;27014;44G7;27;57;37;17;6.05;5;SWE;57.61666667;17.10083333;25-32;SWE (SD 25-32)
204;204;27015;44G8;27;57;49;18;7;5;SWE;57.81666667;18.11666667;25-32;SWE (SD 25-32)
205;205;27022;42G6;27;56;42.2;16;59.1;4;SWE;56.70333333;16.985;25-32;SWE (SD 25-32)
206;206;27025;43G7;27;57;26.9;17;6.3;4;SWE;57.44833333;17.105;25-32;SWE (SD 25-32)
207;207;28001;42H0;28;56;40.4;20;44.8;3;LAT;56.67333333;20.74666667;25-32;LAT (SD 25-32)
208;208;28009;43H1;28;57;24.2;21;20.7;2;LAT;57.40333333;21.345;25-32;LAT (SD 25-32)
209;209;28031;42H0;28;56;33.8;20;25.5;4;LAT;56.56333333;20.425;25-32;LAT (SD 25-32)
210;210;28042;43H0;28;57;7.8;20;43.6;4;LAT;57.13;20.72666667;25-32;LAT (SD 25-32)
211;211;28053;44G9;28;57;32.1;19;17.5;4;SWE;57.535;19.29166667;25-32;SWE (SD 25-32)
212;212;28061;45H1;28;58;27.8;21;34.6;4;EST;58.46333333;21.57666667;25-32;LAT (SD 25-32)
213;213;28075;43H0;28;57;12.3;20;40.4;5;LAT;57.205;20.67333333;25-32;LAT (SD 25-32)
214;214;28078;45G9;28;58;3.4;19;27.9;5;SWE;58.05666667;19.465;25-32;SWE (SD 25-32)
215;215;28093;43H1;28;57;29.3;21;26.2;2;LAT;57.48833333;21.43666667;25-32;LAT (SD 25-32)
216;216;28098;43G9;28;57;20.2;19;8.1;5;SWE;57.33666667;19.135;25-32;SWE (SD 25-32)
217;217;28101;43G8;28;57;2.4;18;49.2;4;SWE;57.04;18.82;25-32;SWE (SD 25-32)
218;218;28103;43G9;28;57;19.8;19;5.1;4;SWE;57.33;19.085;25-32;SWE (SD 25-32)
219;219;28121;43H1;28;57;22.11;21;15.57;3;LAT;57.3685;21.2595;25-32;LAT (SD 25-32)
220;220;28132;43H1;28;57;13.8;21;9.4;3;LAT;57.23;21.15666667;25-32;LAT (SD 25-32)
221;221;28136;43H1;28;57;1.86;21;5.66;2;LAT;57.031;21.09433333;25-32;LAT (SD 25-32)
222;222;28138;43H1;28;57;4.05;21;7.77;2;LAT;57.0675;21.1295;25-32;LAT (SD 25-32)
223;223;28157;42H0;28;56;39.38;20;45.92;2;LAT;56.65633333;20.76533333;25-32;LAT (SD 25-32)
224;224;28161;42H0;28;56;38.1;20;43.9;2;LAT;56.635;20.73166667;25-32;LAT (SD 25-32)
225;225;28162;42H0;28;56;39.99;20;42.4;3;LAT;56.6665;20.70666667;25-32;LAT (SD 25-32)
226;226;28165;43H0;28;57;7.18;20;39.42;5;LAT;57.11966667;20.657;25-32;LAT (SD 25-32)
227;227;28177;43G8;28;57;11.07;18;48.65;3;SWE;57.1845;18.81083333;25-32;SWE (SD 25-32)
228;228;28178;44H1;28;57;31;21;6.3;4;LAT;57.51666667;21.105;25-32;LAT (SD 25-32)
229;229;28181;43G9;28;57;21.64;19;5.28;4;SWE;57.36066667;19.088;25-32;SWE (SD 25-32)
230;230;28182;44G9;28;57;46.71;19;28.85;5;SWE;57.7785;19.48083333;25-32;SWE (SD 25-32)
231;231;28186;44G9;28;57;43.06;19;10.32;3;SWE;57.71766667;19.172;25-32;SWE (SD 25-32)
232;232;28187;44G9;28;57;39.84;19;7.77;3;SWE;57.664;19.1295;25-32;SWE (SD 25-32)
233;233;28191;45H1;28;58;1.6;21;5.9;4;EST;58.02666667;21.09833333;25-32;LAT (SD 25-32)
234;234;24092;38G4;24;54;52.3;14;57.8;3;DEN;54.87166667;14.96333333;21-24;GFR (SD 21-24)
235;235;24104;39G3;24;55;3.98;13;20.4;3;SWE;55.06633333;13.34;21-24;GFR (SD 21-24)
236;236;24156;38G3;24;54;43.32;13;43.57;3;GFR;54.722;13.72616667;21-24;GFR (SD 21-24)
237;237;24161;38G3;24;54;46.2;13;58.3;3;GFR;54.77;13.97166667;21-24;GFR (SD 21-24)
238;238;24190;38G3;24;54;55.58;13;40.2;3;GFR;54.92633333;13.67;21-24;GFR (SD 21-24)
239;239;24195;38G3;24;54;57.6;13;59.1;3;GFR;54.96;13.985;21-24;GFR (SD 21-24)
240;240;24210;39G3;24;55;1.02;13;18.4;3;SWE;55.017;13.30666667;21-24;GFR (SD 21-24)
241;241;24245;39G4;24;55;5.42;14;18.55;3;DEN;55.09033333;14.30916667;21-24;GFR (SD 21-24)
242;242;24289;38G3;24;54;55.9;13;15.5;3;GFR;54.93166667;13.25833333;21-24;GFR (SD 21-24)
243;243;24307;38G4;24;54;43.56;14;42.5;3;DEN;54.726;14.70833333;21-24;GFR (SD 21-24)
